Degree Name,Link
Certificate in Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fcertificate-in-arts&auth=DbChqZDyMzIXOOPYgvzu7Q&profile=_default&rank=4&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Business and Bachelor of Health Science in Psychology…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-business-and-bachelor-of-health-science-psychology-conjoint&auth=BfGq3WMMadbAWSh8LBUJvw&profile=_default&rank=6&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Certificate in Gastronomy,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhospitality-tourism-and-events%2Fcourses%2Fpostgraduate-certificate-in-gastronomy&auth=AwM2RkwXRzqbAvJ8xLf1qA&profile=_default&rank=7&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Business and Bachelor of Computer and Information…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-business-and-bachelor-of-computer-and-information-sciences-conjoint&auth=nXiS9G6onbty75zlnXOLpw&profile=_default&rank=9&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Arts and Bachelor of Business Conjoint Programmes,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-arts-and-bachelor-of-business-conjoint&auth=3xNb9r2GQAkC9OA1eROTqg&profile=_default&rank=10&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Certificate in Applied Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fscience%2Fcourses%2Fcertificate-in-applied-science&auth=ERXhwTz%2FFEZUukPZvILAMQ&profile=_default&rank=11&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Design Te Tohu Paetahi mō te Hoahoa,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-design-te-tohu-paetahi-mo-te-hoahoa&auth=LcA9xAN4uDbWaQe7mMM1sw&profile=_default&rank=12&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Educational Leadership specialisation - Postgraduate Diploma in…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Feducation%2Fcourses%2Fpostgraduate-diploma-in-education%2Feducational-leadership-specialisation-postgraduate-diploma-in-education&auth=l6G4Jjk%2BXXfTGdSBouvT4Q&profile=_default&rank=13&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Business and Bachelor of International Hospitality…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-business-and-bachelor-of-international-hospitality-management-conjoint&auth=oyZAL0uEZ6iG3ydoKrDoHQ&profile=_default&rank=14&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Certificate in Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fpostgraduate-certificate-in-arts&auth=oHNOHymJZ5d%2BWiWW6%2Bbexg&profile=_default&rank=15&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Marketing,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fbusiness%2Fcourses%2Fmaster-of-marketing&auth=YDLE9SGYQraUPIqZtlAWbQ&profile=_default&rank=16&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Certificate in Medical Laboratory Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fscience%2Fcourses%2Fpostgraduate-certificate-in-medical-laboratory-science&auth=Zgg1wlszkHFfH9%2BX6SY6FA&profile=_default&rank=17&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Diploma in Gastronomy,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhospitality-tourism-and-events%2Fcourses%2Fpostgraduate-diploma-in-gastronomy&auth=gLv5hY4bVLFKun8YSGmnOA&profile=_default&rank=18&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Arts and Bachelor of Computer and Information Sciences…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-arts-and-bachelor-of-computer-and-information-sciences-conjoint&auth=YOduWCyXwtWzJqJapHLKuA&profile=_default&rank=19&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Postgraduate Certificate in Science,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fpostgraduate-certificate-in-science&auth=pDVfqFV%2B0RWg%2FUEPzlRGuA&profile=_default&rank=20&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Certificate in Science and Technology,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fcertificate-in-science-and-technology&auth=iy%2BJ1fQMYi0icLBNd1mzKw&profile=_default&rank=21&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Midwifery - Master of Health Practice,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fmaster-of-health-practice%2Fmidwifery&auth=nv%2B76oyoUQ%2FDrEo%2BrZtC%2Bw&profile=_default&rank=22&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Violence and Trauma Studies - Postgraduate Certificate in Health…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fpostgraduate-certificate-in-health-science%2Fviolence-and-trauma-studies&auth=79n50wi4gxANGQHy0TiA2Q&profile=_default&rank=23&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Diploma in Visual Arts Tītohu mō te Toi Ataata,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fart-and-design%2Fcourses%2Fdiploma-in-visual-arts-titohu-mo-te-toi-ataata&auth=vQd3ZDtFOF7JFFos2n0Vjg&profile=_default&rank=24&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Diploma in Pâtisserie,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhospitality-tourism-and-events%2Fcourses%2Fdiploma-in-patisserie&auth=erZj8U19fPwHCUu0zRBNgw&profile=_default&rank=25&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Mental Health and Addictions Course - Master of Health Practice,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fmaster-of-health-practice%2Fmental-health-and-addictions&auth=UzKrjIN%2BKH6GvULerea2%2FA&profile=_default&rank=27&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Maritime Engineering Majors - Bachelor of Engineering (Honours),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-engineering-honours%2Fmaritime-majors&auth=0u3VXeaFIZjjgX0hkc%2F9RQ&profile=_default&rank=28&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Health Science (Physiotherapy),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fbachelor-of-health-science-in-physiotherapy&auth=qm%2FF%2FL%2FyyyQ0u81wfXpPzg&profile=_default&rank=29&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Master of Applied Finance,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fbusiness%2Fcourses%2Fmaster-of-applied-finance&auth=g8PacaUzGsGv5GkTuRs5oQ&profile=_default&rank=30&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Graduate Certificate in Arts,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fgraduate-certificate-in-arts&auth=%2BG%2BSIxnOaDbyTsVKtu9qkA&profile=_default&rank=31&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Study Interaction Design - Bachelor of Design Te Tohu Paetahi mō te…,https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fcourses%2Fbachelor-of-design-te-tohu-paetahi-mo-te-hoahoa%2Finteraction-design-major-bachelor-of-design&auth=hn6ED9FCfz%2Fl9LZaeskU1A&profile=_default&rank=32&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
Bachelor of Health Science (Oral Health),https://www.aut.ac.nz/s/redirect?collection=aut-ac-nz-meta-dev&url=https%3A%2F%2Fwww.aut.ac.nz%2Fstudy%2Fstudy-options%2Fhealth-sciences%2Fcourses%2Fbachelor-of-health-science-in-oral-health&auth=56%2F6prjZjwo4%2FdJPMFVqTA&profile=_default&rank=33&query=%7CT%3A%22%24%2B%2B+Course+%24%2B%2B%22
