Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://www2.lehigh.edu/academics/graduate-studies/4-1-elementary-secondary-accelerated-masters-program,4+1 Elementary & Secondary Accelerated Master's Program,7,110,90,Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of undergraduate study; have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.,Master,Master,NA,5 Years,NA,On Campus,"Lehigh University, Bethlehem, Pennsylvania",NA,USD $500,USD $75,"The 4+1 Elementary & Secondary Accelerated Master's Program offered by the College of Education at Lehigh University is a five-year program designed to allow students to earn a bachelor's degree in their chosen major, a master's degree in Elementary or Secondary Education, and a Pennsylvania Teacher Certification in five years instead of the traditional six. The program is accredited by the Pennsylvania Department of Education and prepares students for teaching in public and private schools.  Students can choose from a variety of subject areas for their secondary education certification, including Biology, Chemistry, Earth and Space Science, General Science, Physics, English, Mathematics, and Social Studies.  The program is typically aligned with these areas of certification.  Students can apply to the program at the end of their freshman year.","The 4+1 Elementary & Secondary Accelerated Master's Program is a five-year program that combines undergraduate coursework with graduate-level teacher education courses.  The first three years focus on completing the undergraduate degree in the chosen major.  During the last two years, students will take graduate-level courses in education and complete the necessary student teaching requirements to obtain a Pennsylvania Teacher Certification.  The specific courses taken will depend on the chosen area of certification.  The program is designed to allow students to earn a bachelor's degree in their chosen major and a master's degree in Elementary or Secondary Education in five years.",The first year of the 4+1 program is dedicated to completing undergraduate coursework in the chosen major. Students take introductory courses in their field of study and develop a strong foundation in their chosen area of expertise. They also take general education courses to ensure a well-rounded educational experience.,"During the second year, students continue to focus on their undergraduate major, taking more advanced courses in their field. They may also begin to explore their interests in education and begin to consider their chosen area of certification for their master's degree. They will continue to take general education courses to broaden their educational experience.",The third year of the program involves completing the remaining undergraduate coursework in the chosen major. Students will take advanced courses in their field and begin to prepare for their transition to the graduate level of the program.  They may also start to take some introductory education courses to gain an understanding of the field of education and teaching. ,"The fourth year of the program marks the beginning of the graduate-level courses.  Students will focus on education theory, practice, and curriculum development.  They will take courses in their chosen area of certification and begin to develop the skills and knowledge needed to become effective teachers.  Students also begin their student teaching experience under the guidance of experienced teachers.","The fifth year of the program is dedicated to completing the graduate-level coursework, completing the student teaching requirement, and taking the necessary exams to receive a Pennsylvania Teacher Certification. Students will finish their master's degree in Elementary or Secondary Education, gaining the necessary credentials to begin their teaching career.",NA,Elementary School Teacher,Secondary School Teacher,Curriculum Developer,Educational Consultant,Special Education Teacher
https://www2.lehigh.edu/academics/graduate-studies/4-1-master-of-art-in-politics-and-policy,4+1 Master of Art in Politics and Policy,7,110,90,Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of undergraduate study; have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions. ,Master,Master,NA,1 Year,NA,On Campus,Lehigh University,NA,USD $500,USD $75,"The Master of Arts in Politics and Policy (M.A.) is a traditional degree option for students who may wish to continue their academic careers in doctoral programs or enroll in law school. The 4+1 format offers students the opportunity to earn a Master of Art in Politics and Policy at an accelerated pace. Students accepted into the 4+1 accelerated program begin taking graduate classes during their junior and senior years and can complete the program one year after earning their undergraduate degree. Current Lehigh students who earn a minimum overall GPA of 3.5, may elect to be enrolled in the 4+1 accelerated program once they achieve junior standing - a minimum of 54 credits. Students in these programs who do not qualify for direct admittance to the MS or MPH based on their GPA must apply for acceptance and two letters of recommendation are required.

The program combines coursework, professional development, and independent research to build skills in qualitative and quantitative analysis; grant writing; and analysis of complex policy environments. Students will become better prepared to address normative political questions; apply statistical methods to policy analysis; and network in political and non-proﬁt sectors. The M.A. in Politics and Policy and M.P.P. can be completed in a single calendar year (fall, spring, and summer)","The course structure combines coursework, professional development, and independent research. Key aspects include:

* **Qualitative and Quantitative Analysis:** Developing skills in analyzing data and drawing meaningful insights.
* **Grant Writing:** Learning the process of securing funding for research and initiatives.
* **Analysis of Complex Policy Environments:** Understanding the intricacies of policy-making and the challenges of implementing effective policies.
* **Normative Political Questions:** Examining ethical and philosophical considerations in politics and policy.
* **Statistical Methods in Policy Analysis:** Applying statistical techniques to analyze policy data and assess effectiveness.
* **Networking:** Building connections with professionals in the political and non-profit sectors.",NA,NA,NA,NA,NA,NA,Political Analyst,Policy Advisor,Research Assistant,Government Relations Specialist,Non-profit Program Manager
https://www2.lehigh.edu/academics/graduate-studies/4-1-master-of-public-policy,4+1 Master of Public Policy,7,110,90,"Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or an average of at least 3.00 for the last two semesters of undergraduate study. Alternatively, they must have a graduate GPA of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.  Two letters of recommendation are required for students who do not qualify for direct admission based on their GPA.",Master,Master,NA,1 Year,NA,On Campus,Lehigh University,NA,USD $500,USD $75,"The 4+1 Master of Public Policy (M.P.P.) program at Lehigh University is designed for students seeking careers in policy analysis, administration, leadership, or management. This accelerated format allows students to begin graduate coursework during their junior and senior years of undergraduate study, completing the program within one year of earning their bachelor's degree. The program combines coursework, professional development, and independent research to develop skills in qualitative and quantitative analysis, grant writing, and complex policy environment analysis. Students gain expertise in addressing normative political questions, applying statistical methods to policy analysis, and networking in political and non-profit sectors.","The M.P.P. curriculum emphasizes a combination of core courses, electives, and practical experiences. The program covers topics like public policy analysis, policy evaluation, quantitative research methods, public budgeting, and policy advocacy. Students are encouraged to tailor their electives to their specific interests and career goals. The program also includes opportunities for internships, practicums, and research projects to apply classroom knowledge in real-world settings.","The program is completed in a single calendar year, encompassing fall, spring, and summer semesters.  Students will take a mix of core courses, such as Introduction to Public Policy, Quantitative Methods for Policy Analysis, Policy Analysis, and Public Budgeting. They will also have the opportunity to select elective courses based on their individual interests. ",NA,NA,NA,NA,NA,Policy Analyst,Government Administrator,Non-profit Program Manager,Research Associate,Consultant
https://www2.lehigh.edu/academics/graduate-studies/4-1-master-of-science-in-engineering,4+1 Master of Science in Engineering,7,110,90,Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of undergraduate study; have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.,Master,Master,NA,1 Year,NA,On Campus,Lehigh University,NA,USD $500,USD $75,"The 4+1 Master of Science in Engineering program at Lehigh University offers an accelerated pathway to a Master's degree. Students can begin taking graduate courses during their junior and senior years, allowing them to complete their Master's degree one year after earning their undergraduate degree.  The program is open to current Lehigh students with a minimum overall GPA of 3.5 who have achieved junior standing (at least 54 credits).  Students who don't meet the GPA requirements can apply for admission to the program and must provide two letters of recommendation. The Master of Science in Engineering program allows students to build upon their existing knowledge and skills in their chosen field, or to explore new areas of study. The program offers flexibility in choosing a specialization within the traditional engineering disciplines or exploring interdisciplinary options, such as energy, healthcare systems, technical entrepreneurship, structural engineering, or data science.  The program emphasizes the growing importance of graduate education in the engineering workplace, providing students with advanced knowledge and skills to advance their careers.","The 4+1 Master of Science in Engineering program is designed to provide students with a comprehensive understanding of engineering principles and practices. The curriculum may vary depending on the chosen specialization, but generally includes core courses in engineering fundamentals, advanced coursework in the chosen area of specialization, and elective courses to provide students with flexibility to tailor their degree to their specific interests and career goals. The program also encourages students to engage in research projects or internships to gain practical experience and build professional connections.",NA,NA,NA,NA,NA,NA,Engineer,Data Scientist,Research Scientist,Project Manager,Technical Consultant
https://www2.lehigh.edu/academics/majors/accounting,Accounting Major,7,110,90,"For undergraduate admission, students must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional. For postgraduate admission, applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or an average of at least 3.00 for the last two semesters of undergraduate study. They must also have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.",Undergraduate,Major,NA,NA,NA,On Campus,Lehigh University,"$65,601",USD $500,USD $75,"Lehigh University's undergraduate accounting program provides a strong foundation in core accounting principles and prepares students for leadership roles in various business fields. The program's rigorous curriculum and talented student body have earned it the 'key school' designation by recruiters. This recognition leads to opportunities for students, including on-site summer and winter leadership programs, externships, and well-paid internships that often result in entry-level positions after graduation.  Alumni of the program hold leadership positions in diverse careers, including partners at international CPA firms, chief financial officers, management consultants, financial analysts, company presidents, and attorneys.",The curriculum for the Accounting Major encompasses core accounting courses and networking opportunities that provide practical experience and connections for students. The specific courses and their structure are not outlined in the provided information.,NA,NA,NA,NA,NA,NA,Accountant,Financial Analyst,CPA,Management Consultant,Chief Financial Officer
https://www2.lehigh.edu/academics/majors/actuarial-science,Actuarial Science Minor,7,110,90,Applicants must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional.,Undergraduate,Minor,NA,NA,NA,NA,NA,"$65,601",USD $500,USD $75,"The Actuarial Science Minor at Lehigh University equips students with the mathematical and statistical skills needed to assess risk in various fields like insurance, finance, and other industries. The program emphasizes hands-on learning with small class sizes, fostering close interaction between students and professors. This minor provides a foundation for careers in actuarial science, finance, teaching, and technology.","The Actuarial Science Minor curriculum emphasizes the application of mathematical and statistical methods to assess risk in insurance, finance, and other industries. Students gain practical experience through coursework and close interaction with professors. While specific subjects are not listed, the program likely covers topics such as probability, statistics, financial mathematics, risk management, and actuarial modeling.",NA,NA,NA,NA,NA,NA,Actuary,Financial Analyst,High School Teacher,College Professor,Data Scientist
https://www2.lehigh.edu/academics/majors/aerospace-engineering,Aerospace Engineering Minor,7,110,90,"To be eligible for the Aerospace Engineering Minor, students must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional for undergraduate applicants.  There are no specific requirements for Pakistani students or students from Pakistan.",Undergraduate,Minor,NA,NA,NA,NA,Lehigh University,"$65,601",USD $500,USD $75,"The Aerospace Engineering Minor at Lehigh University offers a foundational understanding of the aerospace industry, preparing students for careers in diverse fields such as research, design and development, field service, marketing, software development, and teaching. It also serves as a solid technical basis for those seeking to pursue graduate studies in aerospace engineering. The minor covers a broad range of aerospace concepts and principles, providing students with practical knowledge and skills to contribute to the advancement of the aerospace field. ",NA,NA,NA,NA,NA,NA,NA,Aerospace Engineer,Research Scientist,Software Developer,Design Engineer,Marketing Specialist
https://www2.lehigh.edu/academics/majors/africana-studies,Africana Studies,7,110,90,"Applicants for the undergraduate program must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional. For postgraduate programs, applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or an average of at least 3.00 for the last two semesters of undergraduate study. They must also have a graduate GPA of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.",Undergraduate,Major,NA,NA,NA,NA,Lehigh University,"$65,601",USD $500,USD $75,"Lehigh University's Africana Studies program is an interdisciplinary major and minor designed to explore the history, culture, social, and political experiences of people of African descent worldwide. It fosters a critical understanding of heritage and cultural interactions, offering diverse areas of study like Hip Hop cultural studies, African-American literature, identity and difference, art history, religious studies, critical race theory, gender and sexuality in the African diaspora, African-American theatre history, and the intersection of race and culture in Africa and the diaspora.","The Africana Studies curriculum encompasses a wide range of courses covering various topics related to the African diaspora. Students gain a nuanced understanding of historical events, cultural expressions, and social and political issues affecting people of African descent. The program promotes interdisciplinary learning by drawing on insights from different disciplines, including history, literature, sociology, anthropology, and political science. Students engage in critical analysis, research, and discussions to develop a comprehensive understanding of the multifaceted experiences of the African diaspora.",NA,NA,NA,NA,NA,NA,Business Analyst,Political Scientist,Cultural Studies Researcher,Social Activist,Museum Curator
https://www2.lehigh.edu/academics/majors/anthropology,NA,7,110,90,"For undergraduate admission, students must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional. For postgraduate admission, applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or an average of at least 3.00 for the last two semesters of undergraduate study. They must also have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.",Undergraduate,Major,NA,NA,NA,On Campus,Lehigh University,"$65,601",USD $500,USD $75,"Lehigh University offers a bachelor's degree in anthropology that provides students with a solid foundation in scientific inquiry, including research methods, statistics, and a deep understanding of social and cultural behaviors. The program emphasizes personalized attention and active mentoring from faculty. Students benefit from coursework, internships, and independent research opportunities.","The undergraduate program in anthropology at Lehigh University focuses on providing students with a strong foundation in scientific inquiry, including research methods, statistics, and a deep understanding of social and cultural behaviors. Students explore various aspects of human societies and cultures, including biological anthropology, cultural anthropology, and linguistic anthropology. The curriculum combines theoretical coursework with hands-on research experiences. Students gain practical skills through fieldwork, internships, and independent research projects.",NA,NA,NA,NA,NA,NA,Social Services,Marketing,Research,Education,Administration
https://www2.lehigh.edu/academics/graduate-studies/applied-economics,Master of Science in Applied Economics,7,110,90,Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of undergraduate study; have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.,Master,Master,NA,NA,NA,NA,"Lehigh University, Bethlehem, Pennsylvania",NA,USD $500,USD $75,"The Master of Science in Applied Economics at Lehigh University's College of Business is a unique program focusing on applied economics with intimate class sizes and interaction with professors and colleagues.  The curriculum is renowned for its high-quality instruction by faculty recognized for their teaching excellence and relevant research. Students can complement their studies with elective courses in finance, international relations, engineering, political science, mathematics, or marketing. This program prepares students for a career in applied economics and, optionally, for pursuing a Ph.D. in the field.","The Master of Science in Applied Economics program includes core courses in microeconomics, macroeconomics, econometrics, and applied econometrics. Students can choose from a variety of elective courses in areas such as finance, international relations, engineering, political science, mathematics, or marketing to tailor their education to their specific interests.  The program offers opportunities for research and hands-on experience, preparing students for successful careers in the field.",NA,NA,NA,NA,NA,NA,Economist,Data Analyst,Market Research Analyst,Financial Analyst,Policy Analyst
https://www2.lehigh.edu/academics/majors/applied-mathematics,Applied Mathematics Minor,7,110,90,Applicants must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional. For Postgraduate Programs: Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of undergraduate study; have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.,Undergraduate,Minor,NA,NA,NA,NA,Lehigh University,"$65,601",USD $500,USD $75,"Lehigh's undergraduate minor in applied mathematics offers students a strong foundation in mathematical concepts relevant to various fields such as science, engineering, business, computer science, and industry. The program provides a focused education in mathematics with practical applications, preparing graduates for roles in diverse sectors.  The minor is known for its small class sizes, enabling students to build close relationships with faculty and fellow classmates.  ","The Applied Mathematics minor curriculum is designed to provide students with a comprehensive understanding of mathematical principles and their application to real-world problems. Coursework includes topics such as linear algebra, differential equations, calculus, statistics, and probability. Students also have the opportunity to choose elective courses that align with their specific interests, allowing them to tailor their studies to their career goals. The program emphasizes hands-on learning through projects, research, and real-world applications.  ",NA,NA,NA,NA,NA,NA,Analyst,Programmer,Hardware Developer,Researcher,Professor
https://www2.lehigh.edu/academics/graduate-studies/applied-mathematics,Master's in Applied Mathematics,7,110,90,Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of undergraduate study; have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.,Master,Master,NA,NA,NA,NA,Lehigh University,NA,USD $500,USD $75,"The Master's in Applied Mathematics program at Lehigh University offers a comprehensive curriculum that allows students to specialize in pure mathematics, applied mathematics, or statistics. The program is designed to provide a strong foundation in mathematical theory and its applications in various fields. Students can choose from a wide range of courses and tailor their studies to their specific interests. The program is also suitable for students who wish to pursue a Ph.D. in mathematics or a related field.","The Master's in Applied Mathematics program offers a wide range of courses covering various areas within pure mathematics, applied mathematics, and statistics. Students can choose from courses in areas such as analysis, algebra, differential equations, numerical methods, probability, and statistics. The program allows students to specialize in a specific area of mathematics or to develop a broad understanding of the subject. The program typically requires the completion of a certain number of credit hours, including coursework and a thesis or project.",NA,NA,NA,NA,NA,NA,Data Scientist,Quantitative Analyst,Actuary,Mathematician,Statistician
https://www2.lehigh.edu/academics/graduate-studies/applied-mathematics-0,Ph.D. in Applied Mathematics,7,110,90,Applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or an average of at least 3.00 for the last two semesters of undergraduate study. They must also have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.,PhD,PhD,NA,NA,NA,NA,Lehigh University,NA,USD $500,USD $75,"The Ph.D. in Applied Mathematics at Lehigh University offers a rigorous program for students interested in pursuing advanced research and careers in mathematics and its applications.  The program emphasizes a strong foundation in both theoretical and applied mathematics, equipping students with the skills to solve complex problems in various fields. Students can specialize in areas such as statistics, analysis, differential equations, and computational mathematics. The program includes a comprehensive coursework component, culminating in a dissertation based on original research.","The program involves a series of courses and a dissertation component. Students take qualifying examinations in algebra and real analysis within their first two years. They choose to specialize in either statistics and applied probability or analysis and differential equations.  The program provides opportunities for students to engage in research with faculty members, attend seminars and conferences, and present their findings to the academic community.",NA,NA,NA,NA,NA,NA,Data Scientist,Mathematician,Quantitative Analyst,Actuary,Operations Research Analyst
https://www2.lehigh.edu/academics/majors/applied-science,Applied Science,7,110,90,"To be eligible for the undergraduate program at Lehigh University, international students must provide academic transcripts and Letters of Recommendation. SAT/ACT scores are optional. For postgraduate programs, applicants must possess an undergraduate GPA of at least 2.75 out of 4.00 or have an average of at least 3.00 for the last two semesters of their undergraduate studies. They must also have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.",Undergraduate,Major,NA,NA,NA,On Campus,Lehigh University,"$65,601",USD $500,USD $75,"Lehigh University's Applied Science program is a unique interdisciplinary major that allows students to combine their interests in engineering and science with other areas of study. This approach prepares graduates for careers in a variety of fields that bridge academic disciplines. Students choose subject-area concentrations that reflect their academic interests and create a personalized program that combines a general engineering education with a concentration in engineering, science, and another area of emphasis. The core curriculum provides students with the tools to identify connections between their chosen concentrations and develop skills in interdisciplinary problem-solving and critical thinking.  The program is designed for students who want to create a customized learning experience that aligns with their individual goals and career aspirations.","The Applied Science program at Lehigh University involves a customized curriculum that combines a general engineering education with a chosen concentration in engineering, science, and another area of emphasis. This allows students to create a program that caters to their specific interests and career aspirations. The program's core curriculum provides students with the intellectual tools to identify connections between different disciplines and engage in interdisciplinary problem-solving and critical thinking. Students choose a concentration that aligns with their academic interests and allows them to build a unique educational path. The program's structure encourages students to develop a deep understanding of their chosen fields while also fostering cross-disciplinary learning experiences.",NA,NA,NA,NA,NA,NA,Technical Communications,Digital Media,Entertainment Science,Technology Management,Technology Marketing
https://www2.lehigh.edu/academics/majors/architecture,Architecture Major,7,110,90,"For undergraduate admission, students must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional. For postgraduate applications, a minimum undergraduate GPA of 2.75 out of 4.00 or a GPA of at least 3.00 for the last two semesters of undergraduate study is required. Additionally, a graduate GPA of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions is necessary for postgraduate admission. No specific information about Pakistan requirements is provided.",Undergraduate,Major,NA,NA,NA,NA,Lehigh University,"$65,601",USD $500,USD $75,"Lehigh University's Architecture Major provides a comprehensive undergraduate education in the field. The program offers courses focused on architectural design studios, complemented by art studios, history and theory courses, and introductory materials and building technology courses. It is the initial step in a series of requirements leading to professional registration, encompassing further education and apprenticeships. The curriculum prepares students for careers in various fields like interior design, adaptive reuse building, historic preservation, construction management, and real estate development, and also equips them to pursue advanced studies in architecture at prestigious graduate schools.","The Architecture Major curriculum includes a combination of architectural design studios, art studios, history and theory courses, and introductory materials and building technology courses. The program emphasizes hands-on design experience, theoretical foundations of architecture, and understanding of building materials and technology. It offers a comprehensive approach to the field, preparing students for professional practice and further studies.",NA,NA,NA,NA,NA,NA,Architect,Interior Designer,Construction Manager,Historic Preservation Specialist,Real Estate Developer
https://www2.lehigh.edu/academics/majors/art,Art,7,110,90,"For undergraduate admission, students must provide academic transcripts and letters of recommendation. SAT/ACT scores are optional. For postgraduate admission, applicants must have an undergraduate GPA of at least 2.75 out of 4.00 or an average of at least 3.00 for the last two semesters of undergraduate study. Alternatively, they must have a graduate grade point average of at least 3.00 for a minimum of twelve credit hours of graduate work completed at other institutions.",Undergraduate,Major,NA,NA,NA,On Campus,Lehigh University,"$65,601",USD $500,USD $75,"The Art major at Lehigh University offers a comprehensive introduction to fundamental art media such as drawing, sculpture, painting, and photography. Students can tailor their studies by focusing on areas like museum studies, graphic design, art therapy, costume design, set design, or teaching. The program encourages exploration and development of artistic skills, providing a foundation for diverse career paths.","The Art major at Lehigh University is designed to provide a strong foundation in artistic techniques and theoretical frameworks. The curriculum typically includes courses in drawing, painting, sculpture, photography, and art history. Students have the opportunity to specialize in areas of interest, such as graphic design, museum studies, art therapy, or teaching.  Additionally, they can combine their art studies with other disciplines like psychology, theater, architecture, or education, to explore unique career paths.",NA,NA,NA,NA,NA,NA,Artist,Art Teacher,Graphic Designer,Museum Curator,Art Therapist
