Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://cob.mnsu.edu/academics/accounting/bachelor-of-science-in-accounting/,Bachelor of Science in Accounting,5.5 or better,47 or better,61 or better,"To be admitted to the Accounting major, applicants need a cumulative high school GPA of 3.0 or higher, a rank in the top 50% of their high school class, or an ACT composite score of 21 or higher with a minimum cumulative high school GPA of 2.7.  If these requirements aren't met, additional information can be submitted for consideration during the application review process.",Undergraduate,Bachelor,NA,4 Years,NA,On Campus,Mankato,"$ 18,812",N/A,$ 20,"The Bachelor of Science in Accounting program at Minnesota State University, Mankato is a comprehensive curriculum designed to equip students with a strong foundation in accounting principles and practices. The program emphasizes both theoretical knowledge and practical skills, preparing graduates for successful careers in various accounting roles. The program covers a wide range of topics, including financial accounting, managerial accounting, taxation, auditing, and assurance services. Students also gain experience with accounting information systems, business law, and ethics. The curriculum integrates hands-on learning opportunities, case studies, and real-world projects, fostering a deep understanding of accounting principles and their application in business contexts. The program is accredited by the Association to Advance Collegiate Schools of Business (AACSB), ensuring a high-quality educational experience that meets industry standards.","The Bachelor of Science in Accounting program consists of a core curriculum that provides a broad understanding of business principles, followed by specialized courses in accounting. The core curriculum includes courses in economics, finance, management, marketing, and information systems. Accounting majors must also complete a set of required accounting courses, including financial accounting, managerial accounting, taxation, auditing, and assurance services. The program offers electives allowing students to specialize in areas like forensic accounting, tax consulting, or financial analysis. The curriculum is designed to provide a flexible learning experience, allowing students to tailor their studies to their career goals.","The first year of the Bachelor of Science in Accounting program focuses on building a strong foundation in business principles.  Key courses include Introduction to Information Systems (CIS 101), Finite Mathematics and Introductory Calculus (MATH 130), Financial Accounting (ACCT 200), and Legal Environment of Business (BLAW 200).  These courses introduce students to the fundamentals of business operations, legal frameworks, and the core concepts of accounting.","The second year continues to build upon the foundation established in the first year, diving deeper into accounting principles and related business disciplines.  Important courses include Managerial Accounting (ACCT 210), Principles of Marketing (MRKT 210), Accounting Cycle Applications (ACCT 220), Principles of Management (MGMT 230), and Business Finance (FINA 362).  These courses provide a more in-depth understanding of accounting practices, financial management, and marketing principles.","The third year of the Bachelor of Science in Accounting program focuses on developing specialized skills in accounting and related areas.  Core courses include Business Statistics (ECON 207), Intermediate Financial Accounting I (ACCT 300), Accounting Analytics and Information Systems (ACCT 320), Intermediate Financial Accounting II (ACCT 301), Individual Income Tax (ACCT 330), Introduction to MIS (MGMT 300), Operations Management for the Supply Chain (MGMT 346), and Principles of International Business (IBUS 380).  These courses provide students with a comprehensive understanding of accounting principles, tax laws, information systems, and international business dynamics.","The final year of the Bachelor of Science in Accounting program culminates with advanced accounting coursework and elective opportunities.  Essential courses include Management Accounting I (ACCT 310), Business Income Tax (ACCT 410), Advanced Financial Accounting (ACCT 400), Assurance Services I (ACCT 421), Contract Law and Professional Responsibility (BLAW 450), and Business Policy & Strategy (MGMT 481).  These courses build upon the knowledge gained in previous years, focusing on advanced accounting techniques, tax regulations, auditing practices, and strategic management principles.  Students also have the opportunity to choose electives based on their interests and career goals.",NA,NA,Accountant,Auditor,Tax Accountant,Financial Analyst,Management Accountant
https://cob.mnsu.edu/academics/accounting/master-of-accounting/,Master of Accounting (MAcc) Online,NA,NA,NA,Applicants must possess the equivalent of a U.S. Bachelor's degree to be considered for graduate programs at Minnesota State Mankato. The degree must be earned at an institution recognized and approved to award the degree. GRE (Graduate Record Examination) is required by some academic programs.  English Language requirements of graduate programs is different for each course. Graduate programs only have IELTS and TOEFL test scores.,Master,Master,NA,NA,NA,Online,NA,"$ 14,918",N/A,$ 40,"The Master of Accounting (MAcc) program offered by the College of Business at Minnesota State Mankato is a comprehensive online program designed to provide students with a strong foundation in accounting principles and practices.  It prepares students for a variety of accounting career roles in diverse industries, encompassing financial accounting, managerial accounting, taxation, and auditing.  The program emphasizes the development of analytical, problem-solving, and communication skills essential for success in the accounting profession.  The curriculum explores contemporary accounting issues, ethical considerations, and the application of technology in accounting.","The Master of Accounting (MAcc) curriculum typically comprises a set of core courses covering fundamental accounting principles, financial reporting, managerial accounting, taxation, auditing, and ethics.  The program may also offer elective courses, allowing students to specialize in areas of interest, such as international accounting, forensic accounting, or accounting information systems.  Students are expected to develop a comprehensive understanding of accounting theory, practice, and its application to real-world business scenarios.  The program's curriculum is designed to meet the requirements of the Uniform CPA Examination, preparing students for a successful career in accounting.",NA,NA,NA,NA,NA,NA,Certified Public Accountant (CPA),Management Accountant,Financial Analyst,Tax Accountant,Auditing Manager
https://cob.mnsu.edu/academics/accounting/minor-in-accounting/,Minor in Accounting,5.5 or better,47 or better,61 or better,"To be considered for admission to the Minor in Accounting program at Minnesota State Mankato, students must have a cumulative high school GPA of 3.0 or higher, be ranked in the top 50% of their high school class, or achieve an ACT composite score of 21 or higher with a minimum cumulative high school GPA of 2.7. If you do not meet the above requirements, you may submit additional information for consideration.",Undergraduate,Minor,NA,NA,NA,NA,Mankato,"$ 18,812",NA,$ 20,"The Minor in Accounting at Minnesota State Mankato offers a comprehensive understanding of accounting principles and practices, preparing students for various career paths in the field.  This program covers core accounting concepts, including financial accounting, managerial accounting, intermediate financial accounting, and income tax.  It also provides a strong foundation in accounting analytics and information systems.","The Minor in Accounting program at Minnesota State Mankato requires 18 credits and a 2.50 GPA. Students must complete the following core courses:

* ACCT 200: Financial Accounting
* ACCT 210: Managerial Accounting
* ACCT 300: Intermediate Financial Accounting I
* ACCT 301: Intermediate Financial Accounting II
* ACCT 310: Management Accounting I
* ACCT 320: Accounting Analytics and Information Systems
* ACCT 330: Individual Income Tax
* ACCT 400: Advanced Financial Accounting
* ACCT 410: Business Income Tax
* ACCT 421: Assurance Services I

Students also have the option to choose 9 elective credits from the following courses:

* ACCT 300: Intermediate Financial Accounting I
* ACCT 301: Intermediate Financial Accounting II
* ACCT 310: Management Accounting I
* ACCT 320: Accounting Analytics and Information Systems
* ACCT 330: Individual Income Tax
* ACCT 400: Advanced Financial Accounting
* ACCT 410: Business Income Tax
* ACCT 421: Assurance Services I

This program provides a flexible structure allowing students to customize their learning based on their interests and career aspirations.",NA,NA,NA,NA,NA,NA,Accountant,Financial Analyst,Tax Preparer,Auditor,Bookkeeper
https://cset.mnsu.edu/academic-programs/mathematics/actuarial-science-minor/,Actuarial Science Minor,5.5 or better,47 or better,61 or better,"To be eligible for admission to the Actuarial Science Minor program at Minnesota State Mankato, applicants must meet the general undergraduate admission requirements.  These requirements include a cumulative high school GPA of 3.0 or higher, ranking in the top 50% of their high school class, or an ACT composite score of 21 or higher with a minimum cumulative high school GPA of 2.7.  Applicants who do not meet these specific requirements may submit additional information for consideration during the application review process.  There are no specific requirements or mentions related to Pakistan in the provided text.",Undergraduate,Minor,NA,NA,NA,NA,Minnesota State Mankato,"$ 18,812",NA,$ 20,"The Actuarial Science Minor at Minnesota State Mankato is a 22-credit program designed to provide students with a comprehensive understanding of the mathematical and statistical principles essential for a career in actuarial science. This program covers core concepts in mathematics, statistics, and finance, preparing students to excel in the actuarial field. The curriculum includes courses in Calculus, Concepts of Probability and Statistics, Mathematical Theory of Interest, and Actuarial Applications in Probability, among others. Students will also have the opportunity to choose from electives in mathematics, statistics, accounting, and finance to further tailor their studies to their career interests. This minor equips students with a solid foundation in actuarial science, equipping them with the analytical skills and problem-solving abilities necessary for success in this challenging and rewarding field. ","The Actuarial Science Minor curriculum is structured to provide a comprehensive and balanced foundation in mathematics, statistics, and finance. The program is comprised of two components: core courses and electives.  

Core Courses: 

* **Calculus I (MATH 121):** This course covers fundamental calculus concepts, including limits, continuity, derivatives, applications of derivatives, transcendental functions, L'Hopital's Rule, and the development of the Riemann integral. 

* **Calculus II (MATH 122):** This course builds upon Calculus I, focusing on techniques of integration, applications of integration, improper integrals, numerical integration, the calculus of parametric curves, and infinite series and sequences.  

* **Concepts of Probability and Statistics (MATH 354):** This calculus-based course provides an introduction to probability and statistics, encompassing topics like probability, random variables, probability distributions (discrete and continuous), joint probability distributions (discrete and continuous), statistical inference (estimation and hypothesis testing), confidence intervals, sample size determination, analysis of variance, regression, and correlation.  

* **Mathematical Theory of Interest (MATH 461):** This course covers the mathematical theory of interest relevant to actuarial science, encompassing topics such as time value of money, measurement of interest, annuities certain, amortization schedules, sinking funds, bonds, yield rates, and interest rate immunization. 


Electives: 

Students are required to complete 3 credits from a selection of elective courses in Mathematics and Statistics, and 3 credits from Accounting and Finance.  

**Mathematics and Statistics Electives:** 

* **Actuarial Applications in Probability (MATH 460):** This course applies probabilistic methods to problems encountered in actuarial science, preparing students for the Society of Actuaries Exam P/1.  

* **Regression Analysis (STAT 450):** This course covers simple and multiple linear regression, model adequacy checking and validation, outlier identification, leverage and influence, polynomial regression, variable selection, model building strategies, nonlinear regression, and generalized linear regression.  

* **Categorical Data Analysis (STAT 458):** This course explores multivariate analysis for discrete data, including two-dimensional tables, models of independence, log linear models, estimation of expected values, model selection, higher-dimensional tables, logistic models, and incompleteness.   

**Accounting and Finance Electives:** 

* **Financial Accounting (ACCT 200):** This course covers the accounting process, financial statement preparation, and analysis, including the accounting cycle, asset, liability, and equity accounting, with an emphasis on the use of accounting data.  

* **Business Finance (FINA 362):** This course provides an introduction to finance, addressing problems, methods, and policies in financing business enterprises.  

* **Investments (FINA 460):** This course examines investment policy formulation for individuals and institutions, factors influencing securities values, and techniques of portfolio selection and management.  


Unrestricted Electives: 

In addition to the core and elective courses, students may choose from a range of unrestricted electives to enhance their knowledge and skills in related fields.  


The curriculum of the Actuarial Science Minor is designed to provide students with the theoretical knowledge and practical skills essential for success in the actuarial field.  ",NA,NA,NA,NA,NA,NA,Actuary,Data Analyst,Financial Analyst,Risk Manager,Quantitative Analyst
https://ahn.mnsu.edu/academic-programs/dental-education/advanced-dental-therapy-ms/,"Advanced Dental Therapy, MS",5.5 or better,NA,61 or better,"Applicants must possess the equivalent of a U.S. Bachelor's degree to be considered for graduate programs at Minnesota State Mankato. The degree must be earned at an institution recognized and approved to award the degree. GRE (Graduate Record Examination) is required by some academic programs. Applicants must meet one of the following requirements: A cumulative high school GPA of 3.0 or higher, A rank in the top 50% of your high school class, An ACT composite score of 21 or higher and a minimum cumulative high school GPA of 2.7. If you do not meet the above admission requirements, you can submit additional information to consider when reviewing your application. English Language requirements of graduate programs is different for each course. Graduate programs only have IELTS and TOEFL test scores.",Master,Master,NA,NA,NA,NA,Minnesota State Mankato,"$ 14,918",N/A,$ 40,"The Advanced Dental Therapy, MS program at Minnesota State Mankato is designed to prepare students for a career as a dental therapist. The program provides a comprehensive curriculum that covers topics such as dental anatomy, physiology, pathology, and treatment planning. Students will also gain hands-on experience in a variety of clinical settings. The program culminates in a Master of Science degree in Advanced Dental Therapy. Dental therapists are licensed healthcare professionals who provide preventive and restorative dental care. They work in a variety of settings, including private practices, community health centers, and schools. Dental therapists are trained to provide a wide range of services, including: Oral health assessments, Cleaning and polishing teeth, Applying fluoride treatments, Placing sealants, Restoring teeth with fillings, Extracting teeth, Providing oral hygiene instruction. The program is accredited by the Commission on Dental Accreditation (CODA).","The Advanced Dental Therapy, MS program is a 2-year program that includes classroom and clinical instruction. The curriculum is designed to provide students with a comprehensive understanding of dental therapy. The program is divided into four semesters.  Students will complete coursework in a variety of subjects, including: Dental anatomy, physiology, and pathology, Oral health assessment, Treatment planning, Preventive and restorative dentistry, Clinical practice, Ethics and professionalism.  Students will also participate in clinical rotations in a variety of settings, including private practices, community health centers, and schools.  This hands-on experience will give students the opportunity to apply their knowledge and skills in real-world settings.  Students must also complete a research project and a comprehensive examination in order to graduate.","The first year of the Advanced Dental Therapy, MS program focuses on foundational knowledge and skills. Students will take courses in dental anatomy, physiology, and pathology. They will also learn about oral health assessment, treatment planning, and preventive dentistry. Students will participate in clinical rotations in a variety of settings, including private practices, community health centers, and schools. This hands-on experience will give students the opportunity to apply their knowledge and skills in real-world settings.  Students must also complete a research project and a comprehensive examination in order to graduate.","The second year of the Advanced Dental Therapy, MS program focuses on advanced clinical skills. Students will take courses in restorative dentistry, endodontics, and periodontics. They will also participate in clinical rotations in a variety of settings, including private practices, community health centers, and schools. This hands-on experience will give students the opportunity to apply their knowledge and skills in real-world settings.  Students must also complete a research project and a comprehensive examination in order to graduate.",NA,NA,NA,NA,Dental Therapist,Dental Hygienist,Oral Health Educator,Public Health Dentist,Research Scientist
https://ahn.mnsu.edu/academic-programs/nursing-bs/master-of-science-nursing/,Master of Science in Nursing (MSN) - Advanced Professional Nurse,NA,NA,NA,"Applicants must hold a U.S. Bachelor's degree or equivalent from a recognized institution. Some programs may require the GRE (Graduate Record Examination). For graduate programs, English language requirements vary by course and are typically assessed through IELTS or TOEFL scores. Specific GPA or score requirements may be mentioned on the course page.",Master,Master,NA,NA,NA,NA,"Minnesota State University, Mankato","$ 14,918",NA,$ 40,"The Master of Science in Nursing (MSN) program at Minnesota State University, Mankato prepares registered nurses for advanced practice roles. The program focuses on developing clinical expertise, leadership skills, and research knowledge to improve patient care and health outcomes. It offers a variety of specializations, including Adult-Gerontology Primary Care, Family Nurse Practitioner, and Nursing Education. The program emphasizes evidence-based practice, ethical decision-making, and cultural competency to ensure graduates are well-prepared for diverse healthcare settings. The MSN curriculum is designed to meet the evolving needs of the healthcare profession and promote lifelong learning.","The MSN program typically requires a combination of coursework, clinical practice, and research. The curriculum covers advanced nursing concepts, theories, and practices, along with specialized content related to the chosen specialization. Students engage in clinical rotations in various healthcare settings to gain hands-on experience and develop essential clinical skills. Research components may include literature reviews, data analysis, and the development of evidence-based practice projects. The specific coursework and clinical rotations vary based on the chosen specialization and individual student needs.",NA,NA,NA,NA,NA,NA,Advanced Practice Registered Nurse (APRN),Family Nurse Practitioner (FNP),Adult-Gerontology Nurse Practitioner (AGNP),Nurse Educator,Clinical Nurse Specialist (CNS)
https://hss.mnsu.edu/archives/comm-studies-degree-programs/undergraduate-programs/advocating-for-social-justice-minor/,Advocating for Social Justice Minor,5.5 or better,47 or better,61 or better,"Applicants must have a cumulative high school GPA of 3.0 or higher, or be ranked in the top 50% of their graduating class, or have an ACT composite score of 21 or higher with a minimum cumulative high school GPA of 2.7.  If you do not meet these requirements, you can submit additional information to support your application.",Undergraduate,Minor,NA,NA,NA,On Campus,Mankato,"$ 18,812",NA,$ 20,"The Advocating for Social Justice minor is designed to equip students with the skills and knowledge necessary to advocate for social justice issues and causes. The minor focuses on communication and mass media, emphasizing principles, theories, practices, and ethical considerations. It aims to empower students to shape perspectives, influence opinions, and inspire action through effective communication. The minor provides a comprehensive approach to advancing an advocate's social justice agenda.","The minor consists of 20 credits and is comprised of core requirements and restricted electives. The core requirement is COMM 242, 'Preparing for Advocacy,' which introduces students to the fundamentals of advocacy through communication and mass media. The restricted electives offer a range of courses from different departments, allowing students to specialize in specific areas of social justice advocacy. The minor encourages students to choose eight credits worth of courses from the 'Engaging in Advocacy for Social Justice' list and another eight credits from the 'Advocacy Theory and Analysis' list. ",NA,NA,NA,NA,NA,NA,Social Justice Advocate,Community Organizer,Public Relations Specialist,Policy Analyst,Non-profit Manager
https://hss.mnsu.edu/academic-programs/public-relations/advocacy-minor/,"Advocating for Social Justice, Minor",5.5 or better,47 or better,61 or better,"To be eligible for the Advocating for Social Justice Minor at Minnesota State Mankato, applicants must have a cumulative high school GPA of 3.0 or higher, be ranked in the top 50% of their high school class, or achieve an ACT composite score of 21 or higher with a minimum high school GPA of 2.7. If you do not meet these requirements, you can submit additional information for consideration. The specific requirements for Pakistani students are not mentioned in the text.",Undergraduate,Minor,NA,NA,NA,On Campus,Mankato,"$ 18,812",NA,$ 20,"The Advocating for Social Justice Minor at Minnesota State Mankato is a 20-credit program designed to equip students with the knowledge and skills to advocate for social justice issues and causes. The minor focuses on communication strategies, ethical principles, and practical tools to shape perspectives, influence opinions, and inspire action for social change. Students explore various aspects of advocacy, including grassroots organizing, feminist activism, interpersonal communication in leadership, and strategic campaign development. The program encourages experiential learning and provides opportunities to engage with community organizations and real-world challenges.","The Advocating for Social Justice Minor comprises two core courses and a selection of restricted electives. The core courses cover the fundamentals of advocacy, including communication principles, ethics, and practices. Restricted electives allow students to delve deeper into specific areas of social justice advocacy, such as grassroots organizing, feminist activism, or social movements. The curriculum also includes courses that explore interpersonal communication, leadership, and advanced public communication.",NA,NA,NA,NA,NA,NA,Social Justice Advocate,Community Organizer,Public Relations Specialist,Nonprofit Manager,Policy Analyst
https://ed.mnsu.edu/academic-programs/aviation/minor-in-aeronautics/,Aeronautics Minor,5.5 or better,47 or better,61 or better,"Applicants must possess a cumulative high school GPA of 3.0 or higher, or be ranked in the top 50% of their high school class, or have an ACT composite score of 21 or higher and a minimum cumulative high school GPA of 2.7.  If you do not meet these requirements, you can submit additional information for consideration.",Undergraduate,Minor,NA,NA,NA,On Campus,Mankato,"$ 18,812",NA,$ 20,"The Aeronautics Minor is designed for students of any major who are interested in gaining a foundational understanding of aeronautical and aviation sciences. The program provides a comprehensive overview of the field, covering topics such as the principles of flight, aerodynamics, aviation regulations, weather, visual and instrument navigation, and emergencies. Students gain practical experience through flight labs, where they learn the skills necessary to obtain their Private Pilot, Instrument Pilot, and Commercial Pilot certificates. The minor also includes courses in aviation safety, airport management, avionics, and aviation law, providing students with a broad understanding of the industry and its operations. ","The Aeronautics Minor requires a total of 18 credit hours and includes the following course components:  Core Courses:

* **AVIA 101: World of Aviation (3 credits)**: This course explores the role of aviation in the modern world, examining its relationship to business and its contribution to the economy. It also examines aviation as a viable transportation alternative.
* **AVIA 150: Private Pilot (3 credits)**: This course covers basic aeronautical knowledge, including the principles of flight, aerodynamics, aviation regulations, weather, visual and instrument navigation, and emergencies. The course meets the requirements for the FAA Private Pilot written exam.
* **AVIA 437: Aviation Safety (3 credits)**: This course focuses on the understanding and implementation of safe operating procedures, providing students with the skills to make informed decisions in stressful situations while acting as pilot in command. The course also covers relevant FAA regulations and standard operating procedures.  Electives:

Students must choose 9 credits from the following courses:

* **AVIA 151: Private Pilot Flight Lab (2 credits)**: This course provides practical flight training for aspiring pilots, covering the requirements needed to obtain the FAA Private Pilot certificate.
* **AVIA 153: Private Pilot Flight Lab II (1 credit)**: This course continues the flight lab progression, building on the knowledge and skills learned in AVIA 151. The course prepares students for the second stage of the Private Pilot flight lab and prepares them for the FAA administered practical examination.
* **AVIA 240: Instrument Pilot (3 credits)**: This course covers aeronautical knowledge, including aviation regulations, weather, instrument navigation, and instrument emergencies. The course meets the requirements for the FAA Instrument Pilot written exam.
* **AVIA 241: Instrument Pilot Flight Lab (2 credits)**: This course prepares students for the in-flight requirements needed to obtain the FAA Instrument Pilot rating.
* **AVIA 243: Instrument Pilot Flight Lab II (1 credit)**: This course continues the flight lab progression, building on the knowledge and skills learned in AVIA 241. The course prepares students for the second stage of the Instrument Pilot flight lab and prepares them for the FAA administered practical examination.
* **AVIA 250: Commercial Pilot (3 credits)**: This course covers advanced aeronautical knowledge, including aerodynamics, aviation regulations, weather, visual and instrument navigation, and emergencies. The course meets the requirements for the FAA Commercial Pilot written exam.
* **AVIA 251: Commercial Pilot Flight Lab (2 credits)**: This course prepares students for the in-flight requirements needed to obtain the FAA Commercial Pilot certificate.
* **AVIA 253: Commercial Pilot Flight Lab II (2 credits)**: This course continues the flight lab progression, building on the knowledge and skills learned in AVIA 251. The course prepares students for the second stage of the Commercial Pilot flight lab and prepares them for the FAA administered practical examination.
* **AVIA 333: Airline Operations (3 credits)**: This course covers the operational techniques and challenges faced by airlines today, including marketing research, passenger trends, and route feasibility studies.
* **AVIA 337: Avionics (3 credits)**: This course provides an in-depth understanding of aviation electronics, covering topics such as modern synthetic displays, navigation, automatic flight control, FMS, and other essential aircraft equipment.
* **AVIA 343: Airport Management (3 credits)**: This course provides an overview of airport management, covering topics such as day-to-day operations, planning, design, construction, finance, and public relations. The course includes a case study of the Minneapolis/St. Paul metropolitan area airport system and site visits.
* **AVIA 432: Aviation Law - General (3 credits)**: This course covers the legal implications of aircraft ownership, leases, rentals, and overall aircraft operation. The course focuses on understanding liability and negligence from the perspectives of both operators and pilots.
* **AVIA 435: Aviation Law - Transactions (3 credits)**: This course examines various legal topics related to the aviation industry, using case studies to explore topics such as commercial airline accidents, pilot certificate actions, airline security violations, international aviation law, and other current legal matters involving the airline industry.
* **AVIA 436: Flight Operations and Procedures (3 credits)**: This course introduces advanced professional flight students to FAR Part 121 style standardized flight training in a regional jet. The course covers aircraft systems, procedures training, and techniques used in high-performance turbine aircraft. The course emphasizes standard operating procedures (SOP), crew resource management (CRM), and line oriented flight training (LOFT).
* **AVIA 442: Fundamentals of Air Traffic Control (3 credits)**: This course provides students with the basic knowledge needed for a career in air traffic control and covers the fundamentals necessary for FAA certification.
* **AVIA 443: Airline Dispatch (3 credits)**: This course explores the complex system of air control in the US and abroad, covering topics such as radio communications, airspace classification, radar control, aircraft separation, and current and future air traffic control systems.
* **AVIA 445: Aviation Human Factors (3 credits)**: This course examines various techniques designed to enhance management and leadership methods. The course emphasizes decision-making and judgment skills, effective communication, and creating a productive work environment for flight crew and other airline personnel.",NA,NA,NA,NA,NA,NA,Pilot,Air Traffic Controller,Airport Manager,Aviation Safety Inspector,Airline Dispatcher
https://hss.mnsu.edu/academic-programs/aging-studies/graduate/aging-studies-graduate-certificate/,Aging Studies Graduate Certificate,NA,NA,NA,"Applicants must possess the equivalent of a U.S. Bachelor's degree from an institution recognized to award such a degree. The GRE (Graduate Record Examination) is required by some academic programs. The specific requirements for this program are not listed on the website, but it is recommended to contact the department for further information.",Graduate,Certificate,NA,NA,NA,NA,Mankato,"$ 14,918",NA,$ 40,"The Aging Studies Graduate Certificate program at Minnesota State Mankato focuses on leadership, program administration, and policy development in the field of aging. This program aims to develop transformational leaders who can positively influence social change within their communities and organizations.  It is designed to accommodate working professionals who wish to advance their education without interrupting their careers.","The program consists of five required courses, totaling 15 credits. 

* **GERO 550 - Innovations in Aging Policy (3 credits):**  Focuses on the development of aging policies, exploring critical policies impacting the experience of aging, and learning how to become a policy entrepreneur. It also examines innovations in aging policy globally.

* **GERO 600 - Gerontology Theory and Practice (3 credits):** Provides students with a comprehensive understanding of gerontology theory and practice, examining the challenges of studying and providing services to the elderly. It also addresses ethical and advocacy-related issues in an aging society.

* **GERO 603 - Transformational Leadership in Aging (3 credits):** Examines the critical role of leadership in organizations serving older populations. The course delves into the decisions, processes, and ideas of transformational leaders in aging within the US and globally.

* **SOC 517 - Program Administration (3 credits):** Explores the implications of sociological knowledge for the administration of human services programs. It encompasses both theoretical and practical aspects of administration within social service systems.

* **SOC 566 - Program Planning and Evaluation (3 credits):** Covers theoretical and practical aspects of the planning and evaluation process within social service systems. It focuses on evidence-based methods for program development and measuring their effectiveness in the human services field.",NA,NA,NA,NA,NA,NA,Aging Services Administrator,Program Coordinator for Older Adults,Policy Analyst for Aging Issues,Gerontology Researcher,Director of Senior Centers
