Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Regional Tax Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://corsidilaurea.uniroma1.it/en/corso/2024/29941/home,Actuarial and Financial Sciences Masters Degree Programme,Overall 6.5,Overall 59,80 overall,"To be eligible for this Masters program, applicants must hold a relevant bachelor's degree from an accredited institution with a minimum GPA of 75/100.  The program might have additional prerequisites such as specific undergraduate coursework, entrance exams, or portfolios, especially for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher.",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"This Masters program in Actuarial and Financial Sciences equips students with a comprehensive understanding of financial markets, risk management, and statistical modeling. The program emphasizes the application of quantitative methods to analyze financial data and predict future trends. It covers topics like probability, statistics, financial mathematics, actuarial science, investment analysis, risk modeling, and data science. The program aims to develop students' critical thinking, problem-solving, and communication skills, preparing them for successful careers in various financial industries.","The Actuarial and Financial Sciences program is structured into a comprehensive curriculum covering a range of core and elective subjects. The program is designed to provide a strong foundation in actuarial science, financial mathematics, and statistical analysis, enabling students to develop expertise in managing financial risks and applying quantitative techniques to real-world financial problems. The curriculum includes modules on probability theory, statistical inference, financial markets, investment analysis, risk management, actuarial modeling, data mining, and machine learning. Students also have the opportunity to specialize in areas of interest by choosing elective courses from a variety of specializations.","Year 1 of the Actuarial and Financial Sciences program focuses on building a solid foundation in core subjects. The program starts with introductory courses in probability, statistics, and mathematical analysis. Students learn essential concepts in financial mathematics, including interest rate theory, time value of money, and financial derivatives. The curriculum also includes introductory modules on risk management, insurance principles, and the fundamentals of actuarial science.","Year 2 of the Actuarial and Financial Sciences program delves deeper into advanced topics in actuarial science and financial modeling. Students explore areas like risk modeling, stochastic processes, financial engineering, and advanced statistical methods. The program also incorporates practical applications, enabling students to analyze real-world financial datasets and develop solutions for risk management challenges. The curriculum may include modules on investment portfolio management, actuarial valuation methods, financial regulation, and data analytics for financial decision-making.",NA,NA,NA,NA,Actuary,Financial Analyst,Quantitative Analyst,Risk Manager,Data Scientist
https://corsidilaurea.uniroma1.it/en/corso/2024/30840/home,Aeronautical Engineering Masters Degree Programme,Overall 6.5 and higher,Overall 59,80 overall,"Applicants must hold a relevant bachelor's degree from an accredited institution with a minimum GPA of 75/100. Additional prerequisites may be required, such as specific undergraduate coursework, entrance exams, or portfolios, depending on the program. Proof of English proficiency is required for English-taught programs. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher.",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"The Master's Degree in Aeronautical Engineering is a two-year program offered by the University of Rome La Sapienza. The program is designed to provide students with a comprehensive understanding of the principles of aeronautical engineering and the skills necessary for a successful career in the aerospace industry. The curriculum covers a wide range of topics, including aerodynamics, aircraft design, propulsion systems, and flight control. Students will have the opportunity to participate in practical projects and gain hands-on experience in state-of-the-art laboratories.","The program is structured to provide a balance of theoretical knowledge and practical skills. In the first year, students will take foundational courses in aerodynamics, fluid mechanics, and aircraft structures. They will also be introduced to the design process and learn how to use computer-aided design (CAD) software. In the second year, students will specialize in their chosen area of interest, such as aircraft design, propulsion systems, or flight control. They will also undertake a research project and write a thesis. Students can choose to specialize in one of the following areas: Aircraft Design, Propulsion Systems, Flight Control, Aerospace Materials, and Space Engineering.","The first year of the program covers fundamental principles of aeronautical engineering. Students will take courses in aerodynamics, fluid mechanics, aircraft structures, and introduction to aircraft design. They will also gain practical experience in computer-aided design (CAD) software.","In the second year, students will delve deeper into their chosen area of specialization. They will take advanced courses in their chosen field and undertake a research project, culminating in a thesis. Examples of specializations include aircraft design, propulsion systems, flight control, aerospace materials, and space engineering.",NA,NA,NA,NA,Aerospace Engineer,Aircraft Designer,Propulsion Systems Engineer,Flight Control Engineer,Research Scientist
https://corsidilaurea.uniroma1.it/en/corso/2024/32386/home,Analytical Chemistry Masters Degree Programme,Overall 6.5,Overall 59,80 overall,"Applicants must possess a relevant bachelor's degree from an accredited institution with a minimum GPA of 75/100.  Additional prerequisites may include specific undergraduate coursework, entrance exams, or portfolios for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required. For Italian-taught programs, proficiency in Italian at a B2 level or higher is necessary. ",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"The Analytical Chemistry Master's Degree Programme at Sapienza University of Rome equips students with advanced knowledge and skills in analytical chemistry. The program focuses on theoretical concepts and practical applications of analytical techniques for characterizing, identifying, and quantifying chemical substances in diverse matrices.  Students gain expertise in instrumental analysis, separation techniques, spectroscopy, chromatography, and data analysis. The program aims to train graduates for careers in research, academia, industry, and public sector roles related to analytical chemistry.","The program consists of a structured curriculum encompassing fundamental, core, and elective courses. The study plan includes theoretical lectures, practical laboratory sessions, and seminars covering a broad range of analytical chemistry topics. Students are encouraged to pursue research projects under the supervision of faculty members, contributing to the advancement of analytical chemistry knowledge and practice. The program offers opportunities for international exchange and collaboration, enriching students' learning experiences.","The first year of the program covers foundational concepts in analytical chemistry, including instrumental analysis, separation techniques, spectroscopy, and chromatography. Students gain hands-on experience in laboratory settings, developing their practical skills in sample preparation, data acquisition, and interpretation. The curriculum also introduces advanced topics like chemometrics, quality assurance, and environmental analysis.","The second year focuses on specialized topics in analytical chemistry, allowing students to delve deeper into areas of interest. Elective courses cater to diverse interests, providing advanced training in areas such as mass spectrometry, nuclear magnetic resonance spectroscopy, bioanalytical chemistry, or analytical chemistry for food safety. Students undertake research projects, contributing to scientific publications or industry collaborations.",NA,NA,NA,NA,Analytical Chemist,Research Scientist,Quality Control Specialist,Laboratory Technician,Environmental Analyst
https://corsidilaurea.uniroma1.it/en/corso/2024/32372/home,Applied Dynamic and Clinical Psychology Masters Degree Programme,Overall 6.5 and higher,Overall 59,80 overall,"Applicants must possess a relevant bachelor's degree from an accredited institution with a minimum GPA of 75/100. Additional prerequisites may include specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required. For Italian-taught programs, proficiency in Italian at a B2 level or higher is necessary. ",Master,Master,2024/2025,2 years,NA,NA,NA,"€1,268 Full-time, €1,268 Part-time",NA,€30,€140,"The Applied Dynamic and Clinical Psychology Masters Degree Programme at Sapienza University of Rome offers a comprehensive two-year program in the field of psychology. This program delves into the intricacies of human behavior, focusing on both the dynamic and clinical aspects of psychology. Students will gain a deep understanding of psychological theories and their application in real-world settings, preparing them for careers in research, clinical practice, and other related fields. The program's curriculum emphasizes both theoretical knowledge and practical skills, equipping students with the tools necessary to analyze complex psychological phenomena and to provide effective psychological interventions.","The course structure is designed to provide a well-rounded understanding of Applied Dynamic and Clinical Psychology. It consists of core modules covering fundamental concepts, theories, and methods within the field. Elective modules allow students to specialize in areas that align with their interests and career aspirations. The program also includes practical training components, such as internships or placements, which provide hands-on experience in applied settings.  The program curriculum includes a balance of theoretical modules, practical skills development, and applied experiences. The program covers a range of topics, including:","The first year focuses on foundational concepts and theories in dynamic and clinical psychology. Students will explore topics such as psychopathology, developmental psychology, social psychology, and research methods. The year's modules aim to provide a strong theoretical base for understanding the complex interplay of psychological factors influencing human behavior and well-being.","The second year builds upon the foundation established in the first year, delving deeper into specific areas of specialization. Students will engage in advanced coursework in their chosen specialization, applying their knowledge to real-world problems. This year also includes a significant practical component, such as an internship or research project, where students gain hands-on experience in applied settings.",NA,NA,NA,NA,Clinical Psychologist,Research Psychologist,Psychotherapist,Counselor,Educational Psychologist
https://corsidilaurea.uniroma1.it/en/corso/2024/30860/home,Applied Mathematics Masters Degree Programme,Overall 6.5 and higher,Overall 59,80 overall,"To be eligible for the Master's program in Applied Mathematics, applicants must hold a relevant bachelor's degree from an accredited institution with a minimum GPA of 75/100.  Proof of English proficiency is required for this English-taught program.  For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher.  The program may have specific prerequisites like required coursework, entrance exams, or portfolios, especially for fields like architecture, art, and design.",Master,Master,2024/2025,2 years,NA,NA,University of Rome 'La Sapienza',€300,NA,€30,€140,"The Master's Degree Programme in Applied Mathematics at the University of Rome 'La Sapienza' offers a rigorous and comprehensive curriculum designed to equip students with advanced mathematical knowledge and skills. The program focuses on developing a strong foundation in various areas of applied mathematics, including numerical analysis, optimization, probability theory, and statistical methods.  Students will gain the ability to apply these concepts to real-world problems in diverse fields such as finance, engineering, and computer science. The curriculum emphasizes hands-on experience through practical projects and research opportunities.  Students will have the chance to work with leading researchers and contribute to cutting-edge projects, furthering their understanding and developing their research skills.","The Applied Mathematics Master's program is structured to provide a deep understanding of applied mathematics and its applications. The curriculum typically consists of core courses covering fundamental mathematical concepts, elective courses allowing specialization in specific areas of interest, and research activities.  Core courses may include advanced calculus, linear algebra, differential equations, probability and statistics, numerical analysis, and optimization.  Elective courses might delve into areas like financial mathematics, computational mathematics, data science, mathematical modeling, or other specialized topics.  Research activities are often integrated into the program, allowing students to apply their knowledge to real-world problems and contribute to ongoing research projects.","The first year of the Master's in Applied Mathematics focuses on building a strong foundation in core mathematical concepts.  Students delve into advanced topics like numerical analysis, optimization theory, probability and statistics, and differential equations. They learn to apply these concepts to practical problems and develop computational skills through hands-on exercises and assignments. The first year also introduces students to research methods and provides opportunities to engage in research projects.","The second year of the Applied Mathematics Master's program allows students to delve deeper into specialized areas within applied mathematics. They select elective courses based on their interests and career aspirations.  These electives might focus on financial mathematics, computational mathematics, data science, mathematical modeling, or other specialized fields.  Students also engage in independent research projects, applying their acquired knowledge to real-world challenges. The program culminates in a master's thesis, where students conduct in-depth research on a chosen topic, demonstrating their understanding and research abilities.",NA,NA,NA,NA,Data Scientist,Quantitative Analyst,Actuary,Research Scientist,Mathematical Modeler
https://corsidilaurea.uniroma1.it/en/corso/2024/29953/home,Archaeology Masters Degree Programme,Overall 6.5 and higher,Overall 59,80 overall,"To be eligible for the Masters program, applicants must possess a relevant Bachelor's degree from an accredited institution with a minimum GPA of 75/100. The program may require additional prerequisites, including specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher.",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"The Archaeology Masters Degree Programme at the University of Rome 'La Sapienza' offers a comprehensive exploration of the past through a rigorous academic curriculum. This two-year program equips students with advanced knowledge and skills in archaeological theory, methodology, and practice. Students delve into a range of topics, including archaeological research, excavation techniques, artifact analysis, historical context, and the interpretation of archaeological evidence. The program encourages interdisciplinary perspectives, integrating archaeology with other fields such as history, art history, anthropology, and linguistics.  The program also emphasizes the ethical and social responsibilities of archaeologists in preserving cultural heritage and engaging with diverse communities.","The program is structured to provide a comprehensive understanding of archaeological principles and practices. Students are required to complete a series of core courses covering fundamental aspects of archaeology, such as archaeological theory, methodology, and research methods. These courses provide the theoretical foundation for the program. Elective courses allow students to specialize in specific areas of interest, such as prehistoric archaeology, classical archaeology, or underwater archaeology. These elective courses provide deeper insights and practical skills in chosen areas.  The program also includes practical components, such as fieldwork opportunities and museum studies. Fieldwork experiences allow students to gain hands-on experience in archaeological excavation, survey, and documentation. Museum studies provide exposure to museum collections, conservation practices, and the role of museums in presenting archaeological heritage to the public.","The first year of the program focuses on building a strong foundation in archaeological theory, methodology, and research practices. Core courses include topics like archaeological theory and methods, archaeological fieldwork techniques, and the analysis of archaeological materials. Students may also have the opportunity to take introductory courses in areas of specialization, such as prehistoric archaeology, classical archaeology, or underwater archaeology.","The second year of the program builds upon the foundation established in the first year, offering more advanced and specialized coursework. Students continue to explore their areas of interest through elective courses and practical experiences. This year might include courses on archaeological research design, data analysis, interpretation, and communication. Students may also engage in fieldwork projects or museum studies, gaining further practical skills and experience.",NA,NA,NA,NA,Archaeologist,Museum Curator,Heritage Manager,Archaeological Research Scientist,Field Archaeologist
https://corsidilaurea.uniroma1.it/en/corso/2024/29390/home,Architecture Single Cycle Degree Programme,Overall 6.5,Overall 59,80 overall,"To be admitted to this program, applicants must hold a high school diploma or an equivalent qualification obtained after at least 12 years of study. Adequate knowledge of English is mandatory. Applicants must pass one of the following tests: SAT (College Board) with a score of 960/1600, English TOLC-I (CISIA), Italian TOLC-I, or TOLC-S with the additional English section.  For programs taught in English, students must provide English Language proficiency.",Undergraduate,Bachelor,2024/2025,5 years,NA,NA,NA,€300,NA,€30,€140,"The Architecture Single Cycle Degree Programme is a five-year integrated master's program. It covers a wide range of architectural concepts and skills, preparing students for a successful career in the field. The curriculum includes fundamental courses in architecture, design, history, and theory, complemented by electives that allow students to specialize in areas of interest. The program focuses on developing critical thinking, problem-solving, and design abilities, equipping graduates with the knowledge and skills necessary to excel in the field.","The curriculum is structured to provide a comprehensive understanding of architecture, encompassing theory, practice, and design. It includes mandatory core courses, such as Architectural Design, History of Architecture, Building Technology, and Urban Planning. These core courses lay the foundation for further specialization. Students also have the opportunity to choose elective courses based on their interests. This allows them to delve deeper into specific areas like sustainable design, digital architecture, or architectural conservation.","The first year of the program introduces fundamental concepts in architecture, design, and theory. Students explore the history of architecture, learn about different architectural styles, and develop basic drawing skills. They also begin to understand the principles of building technology and structural design.  In addition, they are introduced to the fundamentals of urban planning and its role in shaping the built environment.","The second year builds upon the foundations established in the first year, focusing on developing design skills and exploring architectural principles in more depth. Students engage in studio projects that challenge them to apply their knowledge and develop innovative solutions. They learn about materials and construction methods, with an emphasis on sustainable design practices.","The third year of the program delves into more advanced architectural concepts, including architectural theory, building technology, and design methodologies.  Students engage in in-depth studio projects that require them to integrate their knowledge from previous years. They learn about different types of architectural structures,  the design process, and project management techniques.  They also explore the role of architecture in responding to social and environmental challenges.","The fourth year focuses on specialized study and research. Students can choose elective courses based on their areas of interest, allowing them to delve deeper into specific areas like sustainable design, digital architecture, or architectural conservation. They are also encouraged to undertake research projects or internships, providing them with practical experience and further developing their skills.","The fifth year is dedicated to the final thesis project, which allows students to showcase their skills, research, and design abilities. They conduct in-depth research, design a significant architectural project, and present their findings and design proposals. This year culminates in the final defense of the thesis project.",NA,Architect,Architectural Designer,Urban Planner,Building Technologist,Architectural Historian
https://corsidilaurea.uniroma1.it/en/corso/2024/30814/home,Architecture - Urban Regeneration Masters Degree Programme,Overall 6.5 and higher,Overall 59,80 overall,"To be eligible for admission to this Masters program, applicants must hold a relevant Bachelor's degree from an accredited institution with a minimum GPA of 75/100. Specific requirements may vary depending on the program. Additional prerequisites such as entrance exams or portfolios might be necessary for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is mandatory. Proficiency in Italian at a B2 level or higher is required for Italian-taught programs.  The information provided does not explicitly mention any specific requirements or qualifications for Pakistani applicants. Applicants from Pakistan should consult with the university for detailed information about entry requirements.",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"The Master's Degree Program in Architecture - Urban Regeneration aims to equip students with the theoretical and practical knowledge required to address the challenges of urban regeneration. The program focuses on developing students' understanding of architectural principles, urban planning, and sustainability, providing them with the skills to design and implement innovative solutions for revitalizing existing urban areas. The curriculum covers a range of subjects such as architectural history and theory, urban design, landscape architecture, and building technology, preparing students for careers in various sectors, including architectural practice, urban planning, and research. ","The curriculum of the Architecture - Urban Regeneration Master's program is structured to provide a comprehensive understanding of the field. It encompasses core courses that establish a foundation in architectural principles, urban planning, and design methodologies. Students also have the opportunity to delve into elective subjects that align with their specific interests, allowing them to specialize in areas such as sustainable architecture, urban conservation, or digital design. Throughout the program, students are encouraged to develop critical thinking, problem-solving, and design communication skills. The curriculum culminates in a thesis project that allows students to apply their knowledge to a real-world urban regeneration challenge, demonstrating their expertise and contributing to the advancement of the field.","During the first year of the program, students will delve into foundational courses that provide a solid understanding of architectural principles, urban planning, and design methodologies. They will explore architectural history and theory, urban design concepts, and the relationship between architecture and the environment. Courses in building technology and sustainable architecture will equip students with the technical knowledge and skills required to create sustainable and innovative architectural solutions. Additionally, students will be introduced to research methods and data analysis, preparing them for future research endeavors.","The second year of the Master's program focuses on deepening students' understanding of urban regeneration and its diverse aspects. Advanced courses in urban planning, landscape architecture, and architectural conservation provide a comprehensive overview of the challenges and opportunities associated with urban revitalization. Students will have the opportunity to engage in studio-based design projects, applying their acquired knowledge to real-world scenarios. They will learn to develop sustainable solutions for urban spaces, considering factors such as accessibility, transportation, and social equity. The culminating thesis project allows students to conduct in-depth research and design a comprehensive urban regeneration strategy for a specific area.",NA,NA,NA,NA,Urban Designer,Architectural Project Manager,Sustainability Consultant,Urban Planner,Architectural Researcher
https://corsidilaurea.uniroma1.it/en/corso/2024/30815/home,Architecture (Conservation) Masters Degree Programme,Overall 6.5 and higher,Overall 59,80 overall,"Applicants for this Master's program must hold a relevant Bachelor's degree from an accredited institution with a minimum GPA of 75/100. The program may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios. English proficiency is required for this English-taught program.  There are no specific mentions about requirements specific to Pakistan.",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"The Architecture (Conservation) Masters Degree program at Sapienza University of Rome is a two-year program designed to equip students with the advanced knowledge and skills needed to conserve and restore architectural heritage.  The program covers a broad range of subjects related to architectural history, design, and restoration techniques. Students learn to analyze and understand the historical, architectural, and technical aspects of historic buildings, developing the ability to propose appropriate conservation and restoration solutions. They gain hands-on experience with various preservation methods, using modern technologies while respecting traditional techniques. The curriculum emphasizes a multidisciplinary approach, integrating theory and practice.  The program aims to produce graduates who are capable of working as conservation architects, researchers, and professionals in the field of architectural heritage preservation. They will be equipped to contribute to the safeguarding and valorization of historic buildings and sites, playing a crucial role in the preservation of cultural heritage for future generations.","The course structure is designed to provide students with a comprehensive understanding of architectural conservation.  The program includes a mix of core courses, elective courses, and practical workshops. The curriculum focuses on the historical, architectural, and technical aspects of conservation.  Students will learn about the different types of architectural heritage, the history of conservation, and the various techniques used in restoration. They will also gain practical experience through workshops and site visits, applying their theoretical knowledge to real-world projects.  The program emphasizes a multidisciplinary approach, integrating knowledge from various fields such as architecture, history, engineering, and materials science. Students will have the opportunity to specialize in specific areas of interest, such as the conservation of specific building types, the use of specific materials, or the application of specific restoration techniques.","The first year of the program focuses on foundational knowledge and introduces students to the core concepts of architectural conservation.  Students will study architectural history, building materials and techniques, principles of conservation, and the legal framework surrounding heritage preservation.  They will also gain basic skills in architectural drawing, documentation, and analysis.  Workshops and site visits will provide practical experience and expose students to real-world conservation projects.","The second year of the program deepens the focus on architectural conservation, building upon the foundation laid in the first year. Students will delve into advanced topics, such as conservation planning, restoration techniques, and the use of modern technologies in conservation.  They will also undertake research projects and prepare their final thesis, showcasing their skills and knowledge in a specific area of architectural conservation.  The program provides opportunities for fieldwork, allowing students to apply their knowledge to real-world challenges and develop valuable practical experience.",NA,NA,NA,NA,Conservation Architect,Architectural Historian,Heritage Conservation Specialist,Restoration Architect,Architectural Researcher
https://corsidilaurea.uniroma1.it/en/corso/2024/28692/home,Archive and Library Theory and Management Masters Degree Programme,Overall 6.5,Overall 59,80 overall,"Applicants must possess a relevant bachelor's degree from an accredited institution with a minimum GPA of 75/100. Specific prerequisites may be needed, including relevant undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. Proof of English proficiency is required for English-taught programs. Italian-taught programs necessitate B2-level Italian language proficiency or higher.",Master,Master,2024/2025,2 years,NA,NA,NA,€300,NA,€30,€140,"The Archive and Library Theory and Management Masters Degree Programme at Sapienza University of Rome offers a comprehensive study of archival and library practices, theory, and management. This two-year program equips students with the knowledge and skills necessary to effectively manage and preserve archival collections and library resources. The program covers various aspects of archives and libraries, including historical context, preservation techniques, digital archiving, information management, and user services. Students develop critical thinking skills and gain practical experience in managing and accessing information in the digital age. The program also explores the evolving role of libraries and archives in society, emphasizing their contribution to cultural heritage, research, and community engagement.","The program is structured to provide a balanced mix of theoretical and practical learning experiences. Students engage in coursework, seminars, workshops, and research projects that explore key aspects of archival and library practices. The curriculum covers topics like: 

* **Archival Theory and Practice:**  Examining the principles of archival management, including appraisal, arrangement, description, access, and preservation. 
* **Library Theory and Management:**  Exploring the principles of library management, including collection development, cataloging, information retrieval, and user services. 
* **Digital Preservation and Archiving:**  Understanding digital preservation techniques, metadata standards, and the challenges of managing digital archives. 
* **Information Management and Retrieval:**  Developing skills in information management, including data analysis, research methodologies, and information retrieval systems. 
* **Cultural Heritage and Information Access:**  Exploring the role of archives and libraries in preserving cultural heritage and promoting access to information. 
* **Research and Thesis Project:**  Conducting independent research on a specific topic within the field of archives and libraries, culminating in a thesis. 
* **Practical Experience:** Students gain hands-on experience through internships or placements at libraries, archives, or related institutions.","The first year of the program lays the foundation for understanding the theoretical and practical aspects of archive and library management. Students delve into key concepts of archival theory, library management, and digital preservation. They develop foundational skills in information management and research methodologies. The year also includes introductory courses on the historical context and evolving role of archives and libraries in society.","The second year builds upon the knowledge and skills acquired in the first year, with an emphasis on advanced topics and practical application. Students engage in specialized seminars and workshops, conduct research projects, and gain practical experience through internships. The year culminates in the completion of a thesis based on independent research in a chosen area of focus within archive and library studies.",NA,NA,NA,NA,Archivist,Librarian,Information Manager,Digital Archivist,Museum Curator
