Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Regional Tax Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/9239,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Advanced Automotive Engineering,Overall and minimum 5.5,NA,Overall 80,"Applicants need a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. For English-taught programs, proof of English proficiency is typically required, such as IELTS or TOEFL scores.",Master,Master,2024-25,2 Years,NA,On Campus,"Modena, Bologna","3,315.00 €",NA,50.00 €,157.04 €,"This two-year Master's program in Advanced Automotive Engineering offers a comprehensive and specialized education in the field, focusing on the design, development, and production of high-performance vehicles, including both cars and motorcycles. The program is delivered entirely in English, offering a global perspective and preparing graduates for international career opportunities. Students gain hands-on experience through projects, laboratory activities, and seminars conducted by industry experts, providing insights into the practical application of engineering principles. The program boasts a mechatronic approach and five distinct curricula, allowing students to tailor their studies to their interests and career aspirations. The program is a joint effort between the Universities of Modena and Reggio Emilia, Parma, and Ferrara, highlighting the collaborative nature of the learning experience.","The curriculum of the Advanced Automotive Engineering program is structured around five specialized pathways, each offering a unique focus and set of competencies: **1. Advanced Motorcycle Engineering:** This specialization focuses on the design and development of high-performance motorcycles, encompassing aspects like electronic engineering, industrial design, and the design of endothermic and BEV drivetrains. **2. Advanced Powertrain:** This pathway focuses on the design, development, and optimization of conventional and innovative drivetrain systems, including internal combustion engines, electric drivetrains, and energy storage and conversion solutions. **3. Advanced Sportscar Manufacturing:** This specialization centers on the design, engineering, and production of high-performance sports cars, covering topics such as vehicle architecture, aerodynamics, and the use of advanced materials. **4. Off-Highway Vehicle Engineering:** This pathway focuses on the design and development of off-road vehicles, incorporating concepts related to vehicle architecture, off-road dynamics, and the use of advanced materials. **5. Production Expert:** This specialization equips students with the knowledge and skills necessary to plan, develop, control, and manage automotive production systems, incorporating advanced automation technologies and digital solutions for Industry 4.0.","The first year of the Advanced Automotive Engineering program lays the foundation for a comprehensive understanding of automotive engineering principles. Students are introduced to core subjects such as vehicle architecture, mechanics, materials science, aerodynamics, and thermo-fluid dynamics. They also explore topics related to electronic systems, control theory, and the development of advanced drivetrains, providing a strong base for the specialized courses that follow. The year includes hands-on experience through laboratory activities, projects, and seminars conducted by industry experts.","The second year of the program deepens students' understanding of the chosen specialization and focuses on developing advanced skills in specific areas. Students engage in advanced courses tailored to their chosen pathway, such as advanced vehicle dynamics, structural analysis, computational modeling, and production management, as relevant to their specialization. The year features practical learning experiences through real-world projects, internships, and collaborations with industry partners.",NA,NA,NA,NA,Advanced Automotive Engineer,Vehicle Architecture Expert,Competition Vehicle System Architecture Expert,Drivetrain Systems Expert,Motorcycles Expert
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/9225,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Advanced Cosmetic Sciences,Overall and minimum 5.5,NA,Overall 80,"Applicants must hold a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. For English-taught programs, proof of English proficiency is typically required through IELTS or TOEFL scores.  For programs taught in Italian, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals.",Master,Master,NA,2 Years,NA,On Campus,Campus Rimini,"3.315,00 €",NA,€ 50,€157.04,"The Advanced Cosmetic Sciences Master's program provides comprehensive theoretical and practical training in the scientific and technological aspects of cosmetic product development and production. The program covers a wide range of subjects, including cosmetic chemistry, formulations, regulations, quality control, and advanced research techniques. Students will develop expertise in chemical analysis, formulation development, safety assessments, stability studies, and regulatory compliance for cosmetic products. The program is delivered entirely in English and includes opportunities for international internships and research collaboration, providing students with a global perspective on the cosmetics industry.","The program is structured around a core curriculum that focuses on the scientific and technological aspects of cosmetic sciences. Key areas of study include cosmetic chemistry, formulations, regulations, quality control, and advanced research techniques. The curriculum includes a combination of lectures, laboratory work, and practical exercises designed to develop students' knowledge and skills in formulating, testing, and analyzing cosmetic products. Students will also have opportunities to participate in research projects and internships in the cosmetics industry.","The first year of the program focuses on foundational knowledge in cosmetic science, covering topics such as the chemistry of cosmetic ingredients, formulation design, and regulatory requirements. Students will gain hands-on experience in laboratory settings, conducting experiments and analyzing data related to cosmetic product development. The year also includes courses on quality control and assurance, ensuring that students understand the importance of safety and regulatory compliance in the cosmetics industry.","The second year of the program delves deeper into advanced topics in cosmetic science, focusing on research and development. Students will undertake specialized courses in areas such as skin and hair science, advanced formulation techniques, and analytical methods for cosmetic products. They will also have the opportunity to conduct independent research projects, culminating in a thesis that demonstrates their expertise in a specific area of cosmetic science.",NA,NA,NA,NA,Cosmetic Chemist,Research Scientist,Quality Control Specialist,Regulatory Affairs Specialist,Formulation Scientist
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/9256,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Advanced Design,Overall and minimum 5.5,NA,Overall 80,"Applicants must have a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. Some programs may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals.",Master,Master,NA,2 Years,NA,On Campus,Campus Bologna,"€2,550.00",NA,€ 50,€157.04,"The Advanced Design Master's program at the University of Bologna is a two-year, 120 ECTS program offered in Italian. The program trains students to anticipate change by linking the market, civil society, and the environment. It emphasizes collaboration with local businesses, institutions, and organizations through project and internship opportunities. The program focuses on developing projects from the concept phase to prototyping, utilizing new technologies in innovative contexts. The teaching staff includes professors, designers, managers, business people, and public administration officials.","The Advanced Design Master's program features two distinct curricula: Advanced Design dei Prodotti (Advanced Product Design) and Advanced Design dei Servizi (Advanced Service Design). The specific content of each curriculum may vary, but the general focus is on design thinking, innovation, and sustainability. Students will engage in theoretical study, practical workshops, and project-based learning, gaining hands-on experience in designing and developing products and services. The program includes opportunities for internships at international companies and organizations.","The first year of the Advanced Design program provides students with a strong foundation in design theory, methodology, and practice. Students will explore topics such as design history, aesthetics, ergonomics, user research, and design for sustainability. They will also gain practical skills in sketching, prototyping, and digital design tools. The year may include courses on specific design disciplines like product design, service design, or interaction design.","The second year of the program delves deeper into advanced design concepts and applications. Students will focus on developing independent projects, often collaborating with industry partners. They may specialize in a particular design area or explore interdisciplinary approaches to design challenges. The year may include courses on topics like design strategy, innovation management, and design communication.",NA,NA,NA,NA,Product Designer,Service Designer,UX/UI Designer,Design Researcher,Design Manager
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/5810,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Advanced Methods in Particle Physics,Overall and minimum 5.5,NA,Overall 80,"To be eligible for this Master's program, applicants must hold a relevant Bachelor's degree from an accredited institution.  They should have a strong academic background in physics, with particular emphasis on theoretical and experimental physics. Additionally, a good understanding of advanced mathematics and data analysis techniques is expected. Proficiency in English is mandatory, which can be demonstrated through IELTS or TOEFL scores. While there is no specific mention of Pakistan's requirements, international applicants should ensure their academic credentials meet the university's general admission standards and provide any necessary documentation for equivalence evaluation.",Master,Master,2024-25,2 Years,NA,On Campus,"Bologna, Dortmund, Clermont-Ferrand","2.550,00 €",NA,€ 50,€157.04,"This two-year international Master's program focuses on cutting-edge knowledge in particle physics. It offers a comprehensive curriculum covering theoretical and experimental aspects of particle physics, emphasizing advanced data analysis techniques using artificial intelligence and computer science. The program is designed to equip students with skills in high demand in the job market, particularly in the High-Energy Physics sector. Students gain hands-on experience through internships in leading laboratories and universities worldwide, fostering collaboration with international research communities. The program culminates in a Master's thesis, allowing students to delve deeper into their chosen research area.","The curriculum is structured to provide a strong foundation in the core concepts and methodologies of particle physics. It combines theoretical lectures with practical exercises and project work, allowing students to develop a deep understanding of the subject and acquire practical skills. The course structure typically involves a combination of modules focusing on theoretical physics, experimental physics, data analysis, and computational methods. Students can choose to specialize in specific areas, such as particle detectors, big data analysis, or theoretical models. The program also includes opportunities for internships, research projects, and participation in international conferences, providing valuable experience and networking opportunities.","The first year of the program lays a foundation in theoretical and experimental particle physics. Students delve into advanced topics such as quantum field theory, the Standard Model of particle physics, and the physics of particle detectors. They also gain hands-on experience with data analysis techniques, including statistical methods and artificial intelligence algorithms. The year concludes with a project or internship, allowing students to apply their knowledge and gain practical experience.","In the second year, students delve deeper into their chosen specialization. They explore advanced theoretical models, experimental techniques, and data analysis methods relevant to their area of focus. The year culminates in a Master's thesis, a research project conducted independently or under the supervision of a faculty member. The thesis allows students to contribute to cutting-edge research and demonstrate their expertise in the field.",NA,NA,NA,NA,Researcher in Physics of elementary particles,Data Scientist,Software Engineer,Research Scientist,Physics Teacher
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/5706,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Advanced Spectroscopy in Chemistry,Overall and minimum 5.5,NA,Overall 80,"Applicants must hold a relevant bachelor's degree from an accredited institution, along with transcripts detailing their academic records, including course content and grades.  Proof of English proficiency is required for English-taught programs, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals.",Master,Master,2024/2025,2 Years,NA,On Campus,Campus Bologna,"2,550.00 € Full-time and Part-time",NA,€ 50,€157.04,"This two-year Master's program in Advanced Spectroscopy in Chemistry focuses on advanced chemical analysis and characterization techniques, equipping students with expertise in the structure and property of materials. Delivered entirely in English, it offers a multicultural learning environment through collaborations with universities in Europe, including the University of Helsinki, Université' de Lille, and Universität Leipzig. The curriculum combines theoretical knowledge with practical application, preparing students for diverse roles in research, development, analysis, and quality control within various industries.","The curriculum is designed to provide a comprehensive understanding of advanced spectroscopic techniques, including magnetic resonance spectrometry (NMR), mass spectrometry (MS), gas chromatography-mass spectrometry (GC-MS), high-performance liquid chromatography-mass spectrometry (HPLC-MS), electronic microscopy, diffraction analysis, X-ray absorption, infrared (IR) and Raman microscopy, and calculator simulation techniques. It focuses on the application of these techniques in diverse fields, such as the analysis of superconductors, polymers, advanced ceramics, and composites for industrial and medical applications. Additionally, the program emphasizes the importance of Good Manufacturing Practices (GMP) and the application of spectroscopic techniques in accordance with the requirements of REACH regulations.","The first year of the program provides a solid foundation in advanced spectroscopic techniques and their applications in chemical analysis and material characterization. Key subjects include magnetic resonance spectrometry (NMR), mass spectrometry (MS), and the use of these techniques in identifying complex molecular structures. It also covers electronic microscopy, diffraction analysis, and X-ray absorption, along with their applications in structural analysis. Students also gain a comprehensive understanding of calculator simulation techniques used in designing products and functional materials.","The second year focuses on the practical application of advanced spectroscopic techniques in diverse industrial settings, including research, development, production, and quality control. Students delve deeper into gas chromatography-mass spectrometry (GC-MS) and high-performance liquid chromatography-mass spectrometry (HPLC-MS), particularly in the context of Good Manufacturing Practices (GMP) certification procedures. The program also emphasizes the application of spectroscopic techniques in monitoring and controlling processes, ensuring compliance with REACH regulations. Students will develop hands-on skills through laboratory work and internships within research labs and industrial companies, building their expertise in real-world applications.",NA,NA,NA,NA,Industrial Chemist,Research and Development Scientist,Quality Control Analyst,Analytical Chemist,Process Engineer
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/5723,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Aerospace Engineering,Overall and minimum 5.5,NA,Overall 80,"Applicants must have a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. Some programs may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals.",Master,Master,2024/2025,2 Years,NA,On Campus,Campus Forlì,"€3.060,00",NA,€ 50,€157.04,"The Aerospace Engineering program at the University of Bologna is a two-year master's degree program delivered entirely in English. Students have the option of pursuing either an aeronautics or space curriculum, both of which offer a robust education in advanced aerospace technologies. Key topics include aerodynamics, aerospace systems, flight mechanics, propulsion, and spacecraft design.  Students benefit from a strong emphasis on practical applications, engaging in laboratory activities, field trips to airfields, and collaborative project work. This program provides students with a thorough understanding of the aerospace industry and prepares them for a successful career in this rapidly evolving field.","The Aerospace Engineering program is divided into two curricula: Aeronautics and Space. The Aeronautics curriculum focuses on the design, development, and analysis of aircraft and aerospace systems. Students delve into aerodynamics, aircraft performance, flight mechanics, propulsion systems, and aircraft design principles. The Space curriculum delves into the intricacies of spacecraft design, orbital mechanics, space propulsion, and satellite systems. Students gain hands-on experience in simulating space missions and exploring the latest advancements in space exploration.","The first year of the Aerospace Engineering program is a blend of foundational and specialized courses. Students build upon their existing knowledge of aerospace engineering by studying advanced topics in aerodynamics, fluid mechanics, flight mechanics, and propulsion systems. They delve into the design and analysis of aircraft structures and explore the principles of control and guidance systems. The program incorporates practical lab sessions and project work, providing hands-on experience.","The second year deepens the focus on specific areas within Aerospace Engineering. Students can choose from electives based on their chosen curriculum, either Aeronautics or Space. The Aeronautics curriculum offers courses on advanced aircraft design, experimental aerodynamics, and aircraft performance analysis. The Space curriculum delves into spacecraft design, orbital mechanics, space propulsion systems, and satellite communications. Students may also choose to undertake an internship in a relevant industry, gaining valuable practical experience.",NA,NA,NA,NA,Aerospace Engineer,Research Scientist,Flight Test Engineer,Systems Engineer,Project Manager
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/9235,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Agricultural Sciences and Technologies,NA,NA,NA,"Applicants must hold a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. Some programs may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals. ",Master,Master,NA,2 Years,NA,On Campus,Campus Bologna,"3.315,00 €",NA,€ 50,€157.04,"The Master's Degree in Agricultural Sciences and Technologies offers an in-depth and comprehensive program with a focus on plant production. It equips students with specialized knowledge and skills in innovative areas of plant production science. The program is highly customizable, allowing students to choose from three different curricula: Plant protection, Plant production and biotechnology, and Technical-economic and managerial. These curricula cater to diverse interests and career aspirations, offering students tailored educational pathways. The program emphasizes practical experience through workshops and seminars, providing exposure to cutting-edge topics in agricultural research and production.  Students can further enhance their knowledge and skills through opportunities for internships with international organizations or participation in exchange programs. These international experiences foster a global understanding of agricultural practices and provide a valuable advantage in the competitive international job market. ","The curriculum structure of the Master's Degree in Agricultural Sciences and Technologies is designed to provide a well-rounded education in agricultural sciences and technologies, encompassing various aspects of plant production.  The program is structured around three distinct curricula, each offering a unique set of courses and specialized knowledge: 

**Curriculum Plant protection:** This curriculum delves into the science of plant protection, focusing on understanding and managing plant diseases, pests, and weeds. It covers topics such as plant pathology, entomology, weed science, and integrated pest management.  Students gain practical skills in identifying and diagnosing plant diseases, developing sustainable pest control strategies, and implementing environmentally friendly weed management techniques.

**Curriculum Plant production and biotechnology:** This curriculum explores the latest advancements in plant production and biotechnology, encompassing areas such as plant breeding, genetics, and molecular biology.  Students acquire knowledge and skills in developing improved plant varieties, enhancing crop yields, and utilizing biotechnology techniques for sustainable agriculture. They learn about gene editing, plant tissue culture, and the application of biotechnology for crop improvement.

**Curriculum Technical-economic and managerial:** This curriculum focuses on the business and management aspects of agricultural production. It covers topics such as farm management, agricultural economics, marketing, and financial analysis.  Students develop essential skills in planning, organizing, and managing agricultural enterprises, optimizing resource allocation, and making informed business decisions. They gain knowledge of market trends, financial management, and the economic aspects of sustainable agricultural practices.","The first year of the Master's Degree in Agricultural Sciences and Technologies is designed to provide a strong foundation in agricultural sciences and technologies.  The curriculum covers a wide range of core subjects, including plant physiology, soil science, crop production, and agricultural engineering.  Students gain a fundamental understanding of plant growth and development, soil fertility and management, crop cultivation techniques, and the principles of agricultural machinery.  The first year also includes introductory courses on plant protection, plant breeding, and agricultural economics, providing a broad overview of these areas.","The second year of the Master's Degree in Agricultural Sciences and Technologies deepens the specialization chosen by the student. The three curricula – Plant protection, Plant production and biotechnology, and Technical-economic and managerial – offer a wide range of elective courses that allow students to focus their studies on their chosen areas of interest.  The curriculum includes advanced courses in plant pathology, entomology, weed science, plant biotechnology, crop breeding, agricultural marketing, and farm management.  Students have the opportunity to conduct research projects, participate in field trips, and engage in internships, gaining valuable hands-on experience.",NA,NA,NA,NA,Plant Pathologist,Agronomist,Agricultural Researcher,Farm Manager,Agricultural Economist
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/8522,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Animal Biotechnology,Overall and minimum 5.5,NA,Overall 80,"Applicants must have a relevant bachelor's degree from an accredited institution. The applicant must have a bachelor’s degree or equivalent. Some programs may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals. ",Master,Master,NA,2 Years,NA,On Campus,Campus Bologna -  Ozzano dell'Emilia,"2,550.00 €",NA,50.00 €,157.04 €,"The Animal Biotechnology Master's program aims to equip students with a comprehensive understanding of advanced methods in veterinary and medical biotechnology. It focuses on developing multidisciplinary skills and knowledge relevant to the industry. The program covers a range of areas, including diagnostics, animal models, reproduction, food quality and safety. It provides students with the necessary technical and analytical skills for a successful career in various fields.","The curriculum of the Master's in Animal Biotechnology program is designed to provide students with a solid foundation in veterinary and medical biotechnology. It includes modules focused on key areas like diagnostics, animal models, reproduction, and food quality and safety. Students will have the opportunity to learn about applying genomic and proteomic techniques for disease diagnosis, biomolecular methods for studying epidemiology and etiopathogenesis of diseases, production of biotechnological vaccines and gene therapy for both human and veterinary use, and advanced methods in reproductive techniques in veterinary and medical fields. They will also acquire skills in food traceability, sanitation, and quality control. The program also includes modules on developing research projects in biomedical, veterinary, and translational research, working with animal models, and designing and developing protocols for establishing and manipulating embryonic and adult stem cell cultures. Students will be equipped with the necessary skills to collaborate with other professionals in various areas of biomedical and veterinary research.",NA,NA,NA,NA,NA,NA,Biotechnologist,Research Scientist,Veterinary Physician,Laboratory Technician,Quality Control Specialist
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/5965,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Applied Cognitive Psychology,Overall: 5.5,NA,Overall: 80,"Applicants must have a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. Some programs may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals. ",Master,Master,NA,2 Years,NA,On Campus,Campus Bologna,"2,550.00 €",NA,€ 50,€157.04,"The Master's program in Applied Cognitive Psychology at the University of Bologna is designed to explore the practical applications of cognitive psychology across various fields. The program focuses on innovative research and explores the contributions of psychology to fields such as artificial intelligence, virtual reality, and environmental issues. Students benefit from a strong relationship with the teaching staff and access to numerous laboratories for conducting research experiences. This program offers opportunities for international exchange and thesis work abroad.","The curriculum is structured to provide students with a comprehensive understanding of applied cognitive psychology. Key subjects include but are not limited to: Advanced cognitive processes, Cognitive neuroscience,  Psychology of decision-making, Psychology of learning, Cognitive psychology applied to human-computer interaction, Cognitive rehabilitation, Social cognition, and Experimental methods in cognitive psychology. Students can choose from various specialization areas within applied cognitive psychology.  A significant portion of the program is dedicated to research, allowing students to engage in independent research projects and potentially publish their findings.","The first year of the master's program focuses on foundational knowledge in applied cognitive psychology. It covers advanced cognitive processes, cognitive neuroscience, and the psychology of decision-making. Students also gain practical skills in experimental methods and learn about ethical considerations in research. ","The second year emphasizes the application of cognitive psychology to various fields. Students delve into subjects like the psychology of learning, cognitive psychology applied to human-computer interaction, cognitive rehabilitation, and social cognition. They also have the opportunity to specialize in areas of interest, conduct independent research, and work on their master's thesis.",NA,NA,NA,NA,Cognitive Psychologist,Research Scientist,Human Factors Specialist,User Experience (UX) Designer,Educational Psychologist
https://www.unibo.it/en/study/second-cycle-degree/programme/2024/5969,Laurea Magistrale (Second cycle degree/Two year Master - 120 ECTS) in Applied Economics and Markets,Overall and minimum 5.5,NA,Overall 80,"Applicants must hold a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. Some programs may have additional prerequisites, such as specific undergraduate coursework, entrance exams, or portfolios, particularly for fields like architecture, art, and design. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. Additionally, many programs require a motivation letter or statement of purpose, where students explain their interest in the program and their future academic and career goals.",Master,Master,NA,2 Years,NA,On Campus,Campus Bologna,"€3,060",NA,€ 50,€157.04,"The Applied Economics and Markets program is a two-year Master's degree designed to equip students with the tools for economic analysis in both the public and private sectors. It provides advanced knowledge in economic theory, finance, industrial and monetary economics. The program emphasizes statistical and econometric tools, as well as the programming languages used in research and the professional world. Students can choose from two different curricula and a wide range of courses, offering flexibility in their specialization. The program fosters a multi-disciplinary environment with an international student community and teaching staff, providing constant educational and administrative support.","The course structure includes a variety of core and elective courses covering topics such as microeconomics, macroeconomics, econometrics, financial markets, industrial organization, and international economics. Specific courses might include: Advanced Microeconomics, Advanced Macroeconomics, Time Series Analysis, Financial Econometrics, International Finance, Industrial Organization, and Game Theory. Students can tailor their curriculum through elective courses in areas like behavioral economics, development economics, environmental economics, or public finance, aligning with their interests and career goals.","The first year of the program focuses on core economic theory, advanced econometric methods, and financial markets. Students will learn about various economic models, statistical techniques for data analysis, and the functioning of financial markets, including equity markets, bond markets, and foreign exchange markets. Some specific topics covered might include: Microeconomic Theory, Macroeconomic Theory, Econometrics, Time Series Analysis, Financial Markets, and Monetary Policy.","The second year allows for more specialized study and application of knowledge. Students can choose elective courses that match their career aspirations, such as behavioral economics, development economics, environmental economics, or public finance. They can also pursue research projects or internships to gain practical experience. Topics covered might include: Advanced Microeconomics, Advanced Macroeconomics, Industrial Organization, International Trade, Public Finance, and Environmental Economics.",NA,NA,NA,NA,Economist expert in monetary and financial markets,Business consultant-economist,Economist and applied econometrician,Research Analyst,Financial Analyst
