Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://www.derby.ac.uk/online/accounting-courses/accounting-and-finance-top-up-ba-hons-online/,BA (Hons) Accounting and Finance (Top-Up),6.0,NA,550 (paper based) 213 (computer based) or 80 (internet based),"To be eligible for the BA (Hons) Accounting and Finance (Top-Up) degree, applicants must possess one of the following qualifications: an HND or Foundation Degree in Accounting or Finance (or an international equivalent); ACCA papers F1-F6 or ACCA F1-F5 and F7; a CIMA Advanced Diploma; an ABE Advanced Diploma in Business Administration; or an IBAM Advanced Diploma in Business Administration.  If English is not your first language, you'll need an IELTS score of at least 6.0, a TOEFL score of 550 (paper-based), 213 (computer-based), or 80 (internet-based), a Pearson Test of Academic English score of 51, a Cambridge Advanced Certificate pass, a London Test of English level 4, an International GCE O-level English Language grade C, or an International GCSE English/English as a Second Language grade C.  For Pakistani students, entry requirements will vary depending on previous qualifications. If studied at the A-levels or International Baccalaureate within Pakistan, direct entry to the first year is possible.  Those with degrees directly equivalent to UK second class honours degrees will be considered.",Undergraduate,Bachelor,"September, January, May",1-2 years,"September, January, May",Online,Online,"£5,430","£8,000",NA,"The University of Derby's online BA (Hons) Accounting and Finance (Top-Up) degree is designed for students who already hold a relevant qualification, allowing them to complete a full bachelor's degree.  The program provides a comprehensive understanding of accounting and business concepts, preparing graduates for careers in accounting, finance, and other related fields.  The curriculum combines core modules with optional subjects, allowing for some specialization within accounting and finance.  The course is taught by qualified professionals with both academic and industry experience, ensuring the curriculum is current and relevant to modern business practices.  Students benefit from a flexible online format, allowing professionals or those returning to work the option of a part-time study schedule.","The program requires a total of 120 credits.  Core modules account for 80 credits, while 40 credits are earned from two optional modules chosen from available concentrations.  Students can choose to study at an accelerated rate of two modules per term to complete the degree quicker. Although the list of optional modules is not provided, it can be assumed that the optional modules provide students a choice within the Accounting and Finance fields.  Assessment is exclusively based on coursework, which could include assignments such as essays, research reports, presentations, group work, and practical reports.  The university partnerships with organizations such as CISI (Chartered Institute for Securities and Investment) enhance the programme's credibility and career prospects, providing opportunities to take external exams. ",NA,NA,NA,NA,NA,NA,Accountant,Financial Analyst,Financial Manager,Management Accountant,Auditor
https://www.derby.ac.uk/undergraduate/accounting-courses/accounting-and-finance-ba-hons/,Undergraduate Accounting and Finance BA (Hons),6.0 (with at least 5.5 in each skills area),NA,NA,"For September 2025 entry, typical UCAS points are 112.  A-Level requirements are BBC, BTEC is DMM, and a T Level Merit is required.  GCSE Maths and English Grade 4/Grade C (or above) or equivalent are needed. An Access to HE Diploma with 60 credits is also acceptable: 45 at Level 3 with a minimum of Distinction: 15, Merit: 24, Pass: 6.  Contextual offers may apply for students meeting specific criteria, including those who are care experienced, estranged from families, refugees, asylum seekers, or whose parents/carers are in the UK armed forces.  Students from Pakistan studying A-Levels or the IB from International Schools can enter the first year.  Postgraduate applicants from Pakistan need a relevant Bachelor's degree equivalent to at least a UK ‘Upper Second Class (2:1)’ or ‘Lower Second Class (2:2)’ degree, and a Master's degree if their Bachelor's was two or three years. A four-year Bachelor's with a minimum GPA of 2.4/4.00 is also considered. PhD applicants require a Master's and Bachelor's degree in a relevant subject, along with a research proposal.",Undergraduate,Bachelor,September,3 years,September,On Campus,Derby Campus,"UK: £9,535 per year; International: £16,900 per year","£8,000",NA,"The University of Derby's Accounting and Finance BA (Hons) is a three-year undergraduate program designed to equip students with a comprehensive understanding of accounting and financial principles.  The course is accredited by the European Foundation for Management Development (EFMD) and offers exemptions from various professional accounting bodies like ACCA, CIMA, ICAEW, CPA Australia, and AIA.  Students benefit from industry partnerships, including a Mazars Accelerate Pathway (MAP) offering paid student placements and mentoring. The curriculum integrates practical experience through live consultancy projects, field trips, and the use of industry-standard software such as Sage and Bloomberg.  Assessment methods are varied, allowing students to choose between exam-based and non-exam-based options, and include computer-based assessments, essays, reports, presentations, and employer-negotiated briefs.  The program emphasizes personal academic tutoring and career development support, enabling students to build valuable skills and network with professionals.","The course structure involves a combination of formal lectures, tutorials, workshops, and industry projects.  The curriculum covers key accounting and financial principles, with students progressing to more independent learning and research in later years.  Modules likely include financial accounting, management accounting, auditing, taxation, and financial management, but specifics are not listed. The program incorporates practical experience through live consultancy assignments and collaborations with organizations like Hays.  A professional development module prepares students for internships and graduate roles. The final year includes an independent study module, allowing in-depth research into chosen areas, potentially involving live briefs for employers.","The first year will likely focus on foundational concepts in accounting and finance.  Students will be introduced to fundamental accounting principles, financial reporting, and basic financial analysis techniques. The curriculum might introduce business-related subjects as context for accounting. Introductory modules might prepare students for upper-year specializations, such as auditing or taxation.  The year will incorporate workshops on basic software skills and preparation for professional accounting qualifications.","Year two will delve into more advanced topics within accounting and finance.  Students will likely cover more in-depth financial accounting, management accounting, and auditing techniques.  Specific subjects explored may include cost accounting, budgeting, performance measurement, or financial statement analysis.  The professional development module would be undertaken in this year to better prepare the students for the workplace by giving them the necessary workplace-based skills.","The third year allows for specialization and in-depth study.   Students would focus on advanced areas like international taxation, corporate finance, financial analysis, and financial modelling.  The independent study module enables deeper exploration of a chosen theme, potentially involving research and a project for an employer.  Students can take a placement year during the third year after successful application.",NA,NA,NA,Accountant,Financial Analyst,Auditor,Tax Consultant,Management Accountant
https://www.derby.ac.uk/postgraduate/accounting-courses/accounting-finance-msc/,MSc Accounting and Finance,6.5 with 5.5 in each skills area,NA,NA,"For the MSc, a good honours degree with an accounting background is usually required.  If English isn't your first language, IELTS 6.5 with at least 5.5 in each skill is needed.  To benefit from the dual learning, a good honours degree in Accounting with exemptions from the first 9 ACCA papers or having passed ACCA F1-F9 is required. ACCA registration is the student's responsibility.  For Pakistani students, a relevant Bachelor's degree from a recognised university in Pakistan, equivalent to at least a UK ‘Upper Second Class (2:1)’ or ‘Lower Second Class (2:2)’ degree is needed. Students with a two or three-year Bachelor's degree must also have a Master's degree. A Bachelor's degree with honours (four-year BA, BBA, BSc, BEng) with a minimum GPA of 2.4/4.00 from a recognised Pakistani University is also acceptable.",Master,Master,"September, January","1 year (full-time), 2 years (part-time)","September, January",On Campus,Derby Campus,"£16,900 (Full-time), £1,080 per 20 credits (Part-time)","£8,000",NA,"The University of Derby's MSc Accounting and Finance is a challenging, intellectually stimulating program designed to prepare students for senior finance roles globally.  The curriculum blends technical and strategic learning, developing advanced financial techniques and knowledge.  Students enhance their employability through skill-building in critical thinking, communication, teamwork, and leadership.  The program offers a dual approach, allowing students with ACCA exemptions to work towards their professional level papers alongside their master's.  The course links academic content to real-life business scenarios through consultancy projects, guest lectures, mentoring, and internships, fostering practical experience and networking opportunities.  Taught by professionally qualified accountants with extensive experience, the program provides a dynamic and supportive learning environment, including a Financial Markets Lab for hands-on experience.","The MSc Accounting and Finance is composed of three stages: Postgraduate Certificate, Postgraduate Diploma, and MSc.  The Postgraduate Certificate includes modules like Strategic Business Leader, Market Analysis, and Corporate Reporting. The Postgraduate Diploma builds upon this with modules such as Advanced Financial Management, Advanced Performance Management (subject to availability), Advanced Taxation (subject to availability), Advanced Audit and Assurance, International Finance, and Mergers and Acquisitions. The MSc stage culminates in an Independent Study: Research Methods and an Independent Study: Dissertation.  Assessment methods vary, including case studies, assignments, reflective writing, research papers, presentations, and group work, also incorporating digital literacy assessments.","The first year of the full-time MSc Accounting and Finance program covers the Postgraduate Certificate modules: Strategic Business Leader, focusing on professional judgment in accounting, governance, and risk management; Market Analysis, integrating strategic analysis and business decision-making; and Corporate Reporting, covering international accounting standards and ethical implications.  Students may also begin work on ACCA professional level papers if eligible.","The second year (full-time) or first year (part-time) builds upon the foundation with Postgraduate Diploma modules.  These modules cover advanced topics in financial management, performance management (subject to availability), taxation (subject to availability), audit and assurance, international finance, and mergers and acquisitions. The program emphasis deepens, focusing on strategic financial decision-making and practical application.",NA,NA,NA,NA,Financial Analyst,Management Accountant,Financial Manager,Auditor,Tax Consultant
https://www.derby.ac.uk/undergraduate/accounting-courses/accounting-and-finance-ba-hons-foundation/,Undergraduate Accounting and Finance with Foundation Year BA (Hons),6.0 (with at least 5.5 in each skills area),NA,NA,"For entry in 2025, typical requirements include 72 UCAS points, A Levels (DDD), a T Level pass, BTEC (MMP), or a pass in an Access to HE Diploma. GCSEs in Maths and English are preferred, but if lacking, Level 2 Maths and English can be taken as part of the course.  International students need an IELTS score of 6.0 with a minimum of 5.5 in each skill area.  For Pakistani students, A-levels or International Baccalaureate from Pakistani international schools allow direct entry into the first year. For postgraduate entry in Pakistan, a relevant Bachelor's degree equivalent to at least a UK Upper Second Class (2:1) or Lower Second Class (2:2) is required.  Those with two or three-year Bachelor's degrees also need a Master's pass. A four-year honors Bachelor's degree with a minimum GPA of 2.4/4.00 from a recognized Pakistani university is also considered for Master's entry. ",Undergraduate,Bachelor,September,4 years (5 years with optional placement year),September,On Campus,Derby Campus,"£9,250 per year (UK);£16,900 per year (International)","£8,000",NA,"The University of Derby's BA (Hons) Accounting and Finance with Foundation Year is a four-year (or five-year with placement) undergraduate program designed to equip students with the necessary skills and knowledge for a successful career in accounting and finance.  The foundation year provides a strong base, particularly beneficial for career changers.  The curriculum emphasizes professional practice, incorporating live consultancy projects, field trips, and access to a Financial Markets Lab using industry-standard technology. Students receive instruction from professionally qualified staff with extensive industry experience.  The program offers flexibility – selecting modules to gain exemptions from professional bodies like ACCA, CIMA, ICAEW, and others, including an optional placement year between the second and third years.  The course culminates in advanced projects tackling complex real-world problems, fostering critical analysis and problem-solving skills. The inclusion of a Mazars Accelerate Programme provides opportunities for paid placements and potential graduate programs.  International opportunities, such as a Copenhagen trip focusing on forensic accounting, enhance students' global perspective.","The course structure is divided into stages, with the foundation year focusing on building fundamental skills and knowledge in accounting and finance. Further stages introduce advanced accounting techniques, specialist areas, and ethical considerations within a business framework. Independent study allows students to delve into chosen subject areas in the final year. A range of assessment methods are employed throughout, including coursework, exams, reports, and presentations. There's also an optional placement year for gaining practical experience and a 'Diploma on Professional Practice', and students can choose specialized areas in the final year aligning with their career ambitions.  The curriculum integrates teamwork, leadership, and project management skills training.","The first year (foundation year) focuses primarily on building a solid foundation in core accounting principles, financial mathematics, basic business economics, and essential study skills.  Students will gain a general understanding of accounting concepts and business contexts.  Emphasis is placed on developing essential study skills and understanding the fundamentals of accountancy within a structured learning environment.  Assessment is largely coursework based, often in-class tests, setting the groundwork for higher level study.","Year two delves into more advanced accounting techniques, covering intermediate financial accounting and management accounting. Students explore cost and management accounting concepts in detail and develop their analytical capabilities.  Modules likely include financial reporting, budgeting, forecasting, and financial statement analysis. Emphasis shifts towards more independent study and research, enabling development of critical thinking.","The third year (following an optional placement year) could incorporate specialized studies in various accounting disciplines, such as auditing, taxation, or forensic accounting.  Students may undertake more complex projects with real-world applications, potentially involving external clients or industry partners. This year combines further theoretical knowledge with practical application, allowing specialization in areas of interest.","The fourth year engages students in advanced studies in chosen accounting specializations.  Students will refine their skills in specific areas such as financial management, strategic accounting, or international accounting. It is expected to include a significant dissertation or independent project, where students apply their knowledge to solve complex problems or conduct in-depth research.",NA,NA,Accountant,Financial Analyst,Management Accountant,Auditor,Tax Consultant
https://www.derby.ac.uk/undergraduate/accounting-courses/accounting-and-finance-ba-hons-with-placement-year/,Undergraduate Accounting and Finance BA (Hons) with Placement Year,6.0 (with at least 5.5 in each skills area),NA,NA,"For September 2025 entry, typical UCAS points are 112.  A-Level requirements are BBC, BTEC is DMM, and a Merit in T Level is required. GCSE Maths and English Grade 4/Grade C (or above) or equivalent is necessary. An Access to HE Diploma with 60 credits (45 at Level 3) is also acceptable.  Contextual offers may be available for students who are care experienced, estranged from their families, refugees or asylum seekers, or whose parents/carers are in the UK armed forces.  For Pakistan, students completing A-levels or the IB from International Schools in Pakistan can enter the first year. Postgraduate entry requires a relevant Bachelor’s degree equivalent to a UK 2:1 or 2:2, or a Master’s degree if the Bachelor's is two or three years. A four-year Bachelor's with a minimum 2.4/4.0 GPA is also considered. PhD applicants need a Master's and Bachelor's in a relevant subject, along with a research proposal.",Undergraduate,Bachelor,September 2025,4 years,September,On Campus,Derby Campus,"UK: £9,535 per year; International: £16,900 per year","£8,000",NA,"The University of Derby's Accounting and Finance BA (Hons) with Placement Year is a four-year undergraduate program accredited by the European Foundation for Management Development (EFMD).  It provides a comprehensive education in accounting and finance principles, preparing students for careers in various sectors.  The curriculum includes modules covering key accounting concepts, financial principles, and practical applications. Students benefit from opportunities like a placement year, live consultancy projects, and field trips, enhancing their practical experience and career prospects.  The program also offers exemptions from several professional accounting bodies like ACCA, CIMA, ICAEW, CPA Australia, and AIA, accelerating students’ paths to professional qualifications.  The University boasts experienced faculty with industry connections and offers support through a Personal Academic Tutoring program.","The course structure involves a combination of lectures, tutorials, workshops, and industry projects.  The initial years focus on foundational accounting and finance concepts, progressing to more specialized modules in later years.  A placement year allows students to gain practical work experience. Assessment methods include computer-based assessments, examinations, essays, business reports, employer-negotiated briefs, videos, group presentations, and portfolio-based assessments. In addition to core modules, students can tailor their learning by choosing an exam-based or non-exam-based assessment method. Opportunities exist for students to develop skills in SAGE accounting software and Bloomberg Market Concepts, enhancing their employability. The final year incorporates an Independent Study module, allowing for in-depth research into a chosen theme, often in collaboration with employers.","The first year lays the foundation in accounting and finance, introducing core concepts and principles. Students will learn fundamental accounting practices, financial reporting, and basic financial management. Introductory modules on business law, economics and statistics will also likely be included, providing a solid base for the specialized modules that follow.  The year will likely include workshops, tutorials, and assignments to build basic accounting skills.","Building on the first year's foundation, this year delves deeper into specialized areas of accounting. Students will explore more advanced financial accounting and reporting techniques, potentially focusing on areas like management accounting, cost accounting or financial statement analysis. Students start working toward their professional body exemptions by studying relevant modules. The course includes a professional development component, preparing students for internships, placements, and future roles. Students start applying for the Mazars placement during this year, with the placement beginning in their third year.","This is the placement year. Students gain practical, paid experience in a real-world environment, applying their knowledge and skills in an industry setting.  The university offers support in finding relevant placements, providing guidance and mentoring throughout the year. This immersive experience enhances their CV, network and allows a focused career exploration.","Students may complete more specialized courses such as taxation, auditing, and financial modelling. Students in their final year can participate in ‘International Tax Week’, an opportunity to collaborate with other European Universities. Independent study projects allow students to engage in in-depth research, often on projects commissioned by external organizations. The year culminates in final assessments, preparing students for graduation and careers.",NA,NA,Accountant,Financial Analyst,Management Accountant,Auditor,Tax Consultant
https://www.derby.ac.uk/postgraduate/nursing-health-care-practice-courses/advanced-practice-msc/,MSc Advanced Clinical Practice,6.5 with a minimum of 5.5 in all areas,60,NA,"Applicants should demonstrate evidence of continual professional development (CPD), successful completion of degree-level modules (40 credits plus), and around a minimum of 5 years post-registration experience.  A statement of entry or evidence of professional registration (NMC, HCPC, or GPC) is required.  Written confirmation of employer support, including clinical supervision with an identified clinical supervisor (and where possible, an education supervisor), and an employer reference are also needed. Evidence of a degree or professional qualification is necessary. International students residing in the UK with appropriate visas and employment with an NHS Trust or supporting organization are eligible, provided they meet the entry criteria and can attend once a week.  For apprenticeships, an up-to-date DBS check and evidence of English and Maths L2 qualifications (GCSE or equivalent) are also required.  Pakistani students must have completed a relevant Bachelor’s degree from a recognised University in Pakistan, equivalent to at least a UK ‘Upper Second Class (2:1)’ or ‘Lower Second Class (2:2)’ degree. Those with two or three-year Bachelor degrees also need a Master's degree pass. A four-year Bachelor's degree with honours (minimum GPA of 2.4/4.00) from a recognised Pakistani University is also acceptable.",Master,Master,"September, March",2 to 6 years,"September, March",On Campus,"Kedleston Road, Derby Campus","£1,315 per 20 credits (International students: N/A)","£8,000",NA,"The University of Derby's MSc Advanced Clinical Practice program is designed to equip healthcare professionals with advanced clinical and theoretical skills in managing individual patient care.  The course focuses on developing autonomous practitioners through a constructivist learning approach in partnership with employers.  Students gain expertise in history taking, examinations, investigations, prescribing, result interpretation, and appropriate referrals.  A key element of the program involves improving services through audit, research, and knowledge dissemination.  It's structured around the four pillars of advanced practice and is accredited by the Centre for Advancing Practice, increasing career prospects and workforce consistency.  The program is strongly focused on practical application and reflective learning, linking theory to real-world clinical practice.","The MSc Advanced Clinical Practice is structured in three stages: Postgraduate Certificate, Postgraduate Diploma, and MSc. Stage one covers clinical decision-making and management of investigations and referrals. Stage two includes non-medical prescribing (or alternative modules) and research. The final stage involves consolidating advanced practice with an option module (for non-apprentices) that offers choices such as advanced communication skills, symptom management, and therapeutics.  Assessment methods are varied and include case-based scenarios, OSCEs, presentations, examinations, clinical logs, and vivas.  The program continually reviews its content to enhance student experience and graduate outcomes.",NA,NA,NA,NA,NA,NA,Advanced Nurse Practitioner,Advanced Clinical Practitioner,Independent Prescriber,Healthcare Improvement Lead,Clinical Supervisor
https://www.derby.ac.uk/short-courses-cpd/health-and-social-care/advancing-communication-skills/,Level 7 Advancing Communication Skills,NA,NA,NA,"This short course requires professional qualification in health and social care.  For students from Pakistan, the entry requirements are not explicitly specified for this short course on the provided University webpage. However, the general entry requirements for postgraduate study at the University of Derby for Pakistani students state that a relevant Bachelor's degree from a recognized Pakistani university (equivalent to a UK Upper Second Class (2:1) or Lower Second Class (2:2) degree) is required. Students with two or three-year Bachelor's degrees need a Master's degree pass, while four-year Bachelor's degrees with honors (minimum GPA of 2.4/4.00) will also be considered.",Master,Certificate,"September, January",12 weeks,NA,Online,Distance learning,NA,"£8,000",NA,"This Level 7 course, ""Advancing Communication Skills,"" focuses on enhancing communication abilities for healthcare professionals.  The curriculum emphasizes a needs analysis approach, allowing participants to address their specific communication skill gaps. It covers various communication strategies applicable in complex healthcare settings.  The course is designed to be relevant to the professional practice of a wide variety of health professionals, assisting them in developing and refining necessary communication tools for improved patient interaction and care delivery. The module evaluation will be based on a negotiated learning contract allowing customization to individual needs and professional contexts. Upon completion, participants will be equipped with effective and adaptable communication strategies for application in their daily work, enhancing their patient interactions and professional capabilities.","The course begins with a needs analysis to identify the individual communication skills that need improvement.  This analysis will then inform the selection of three specific areas of communication for further focused study, based on the individual's needs and chosen learning contract. The course may incorporate elements such as theoretical frameworks supporting communication, practical application exercises, real or role-play case studies in sensitive or contentious situations, and feedback mechanisms for continuous improvement.  The modules will evaluate the learner's progress against the stated learning outcomes and negotiated learning contract.",NA,NA,NA,NA,NA,NA,Healthcare Professional,Nurse,Paramedic,Occupational Therapist,Pharmacist
https://www.derby.ac.uk/online/health-social-community-work-courses/advanced-integrated-urgent-care-practice-postgraduate-certificate-pgcert-online/,PG Cert Advancing Integrated Urgent Care Practice,6.5 with a minimum of 5.5 in all areas,NA,NA,"Applicants should normally have a first degree. If you do not hold a first degree, you must have successfully undertaken a minimum of one level 6 (undergraduate) or level 7 (postgraduate) module within the past 5 years.  In addition to the academic requirements, you will need to be a qualified health professional with active registration as either a Pharmacist (on the General Pharmaceutical Council register), Nurse or Midwife (on the Nursing and Midwifery Register), or a professional on the Health and Care Professions Register. You will need to be actively practicing in a patient-facing role for a minimum of one day per week.  For Pakistani students, a relevant Bachelor’s degree from a recognised University in Pakistan is required, equivalent to at least a UK ‘Upper Second Class (2:1)’ or ‘Lower Second Class (2:2)’ degree. Students with a two or three-year Bachelor's degree must also have a pass in a Master’s degree. A Bachelor's degree with honors (four-year BA, BBA, BSc, BEng) with a minimum GPA of 2.4/4.00 from a recognised Pakistani University will be considered for entry.",Master,Certificate,September,1 Year,September,Online,Online,"£3,165",NA,NA,"The Postgraduate Certificate in Advancing Integrated Urgent Care Practice is a one-year online program designed for healthcare professionals to enhance their skills in remote consultation and integrated urgent care.  The curriculum focuses on clinical decision-making, remote consultation techniques, and professional practice within the context of person-centered care.  It covers topics such as triage, clinical leadership, ethical considerations, and safeguarding. The program emphasizes practical application, enabling students to directly apply learned skills to their workplace. It also incorporates personal development planning (PDP) to help learners identify and address their developmental needs, improving their confidence and sense of purpose.  The program is suitable for professionals aiming for specialist or advanced practice roles in various healthcare settings.","The program consists of three core 20-credit modules, totaling 60 credits at level 7.  Each module is delivered entirely online through a virtual learning environment, providing access to learning materials, resources, and communication tools.  The modules cover consultation skills, legal and ethical considerations, clinical decision-making, challenges of remote consultation, and strategies to mitigate safeguarding risks. Teaching methods include online discussions, live sessions, and practice-based learning with opportunities for critical reflection and engagement with clinical supervision.  Personal Development Planning (PDP) is integrated throughout the program, encouraging self-assessment and development.","The program is designed for completion within one year. Students engage in three core modules, each covering essential aspects of integrated urgent care practice, such as remote consultation, clinical decision-making, professional standards and ethical considerations. Students are expected to dedicate approximately 20 hours per week to each 20-credit module. Assessment methods will include practical assessments like OSCEs or presentations, and coursework like essays and critical reflections.  The program emphasizes applying learnings directly into workplace settings.",NA,NA,NA,NA,NA,Advanced Practice Nurse,Urgent Care Practitioner,NHS111 Practitioner,Remote Consultation Specialist,Clinical Team Leader
https://www.derby.ac.uk/short-courses-cpd/health-and-social-care/advancing-practice/,"Level 7 Advancing Practice - Health, Psychology and Social Care",6.5 with a minimum of 5.5 in all areas,60,NA,"For postgraduate study, students must have completed a relevant Bachelor’s degree from a recognised University in Pakistan, equivalent to at least a UK ‘Upper Second Class (2:1)’ or ‘Lower Second Class (2:2)’ degree.  Those with two or three-year Bachelor degrees need a Master's degree pass. A four-year Bachelor's degree (BA, BBA, BSc, BEng) with a minimum GPA of 2.4/4.00 from a recognised Pakistani University is also acceptable for Master's entry. For undergraduate study, completing A-levels or the International Baccalaureate (IB) from Pakistani International Schools allows direct entry into the first year of a Bachelor's degree.  PhD applicants need a Master's and Bachelor's degree in a relevant subject, along with a research proposal.",Master,Master,"September, January",NA,"September, January",Distance learning,Distance learning,NA,"£8,000",NA,"The Level 7 Advancing Practice module caters to healthcare professionals seeking to delve into a specific area of interest.  It allows for the development of enhanced clinical skills within a chosen field, augmenting theoretical knowledge to address complex problems. The course emphasizes critical reflection on clinical practice, effective negotiation of a learning contract, and the ability to present and critically appraise enhanced skills and knowledge to others, demonstrating a thorough understanding of related professional issues.  Successful completion equips participants with advanced skills and knowledge to solve complex problems within their chosen area of healthcare and improve their professional practice.","The course structure is not explicitly detailed but focuses on in-depth study of a chosen area within health, psychology, or social care selected by the student.  It will involve critical reflection on current practice, the development of a learning contract, enhancement of clinical skills, and the application of theoretical knowledge to complex scenarios.  The program emphasizes evidence-based practice and the ability to articulate this learning to others, allowing for both personal and professional growth within a healthcare setting. Students will select and work independently on the chosen area for the duration of this module.",NA,NA,NA,NA,NA,NA,Advanced Practice Practitioner,Clinical Specialist,Healthcare Consultant,Research Associate,Senior Healthcare Professional
https://www.derby.ac.uk/apprenticeships/aerospace-software-engineering-degree-appenticeship/,BSc (Hons) Aerospace Software Engineering Degree Apprenticeship,6.0 to 7.0,NA,NA,"Entry requirements include 5 GCSEs at Grade 4/C or above, including Maths and English.  Applicants must be employed by an aerospace software engineering company.  Qualifications of 3 A-levels at C or above (or equivalent) including a STEM subject and 2 others, or a BTEC Extended Level 3 at DDM or a T-Level at Distinction are also acceptable. BTECs and T-Levels should be in STEM subjects. Employers may have additional selection criteria.  The University considers all application information and applicant enthusiasm.  For Pakistani students, completing A-levels or the IB from Pakistani international schools allows entry to Year 1.  For postgraduate study, a relevant Bachelor's degree from a recognised Pakistani university (equivalent to a UK 2:1 or 2:2) is needed. Two or three-year Bachelor's degree holders require a Master's degree pass. A four-year Bachelors with honours and a minimum GPA of 2.4/4.00 from a recognised Pakistani University qualifies for Masters entry.",Undergraduate,Bachelor,September (subject to validation),4 years,September 2023,Blended,"Markeaton Street, Derby Campus",NA,"£8,000",NA,"The Aerospace Software Development Engineer Degree Apprenticeship is a four-year blended learning program combining academic study with on-the-job training.  It's designed to meet the needs of regional aerospace companies, providing a strong foundation in software engineering principles and practical skills relevant to the aerospace industry. The curriculum integrates theoretical knowledge with hands-on experience through a dedicated balance of classroom learning at the university campus and practical work experience.  Graduates will be prepared for a range of roles within the aerospace sector. The program emphasizes the development of key software engineering competencies, problem-solving abilities, and professional skills.","The four-year program integrates academic coursework with practical, on-the-job training. Students spend 20% of their time on off-the-job training, which includes lectures, workshops, simulations, online learning, shadowing, mentoring, and industry visits.  The program combines theoretical learning at the university with hands-on practical experience from the employer.  The apprenticeship combines modules covering various aspects of Software Engineering including programming, mathematics, embedded systems, software testing, team projects, real-time systems and data mining.  The apprenticeship also incorporates business management and professional development modules. The final year culminates in an end-point assessment, ensuring that the apprenticeship leads to a validated qualification that meets industrial standards.","The first year introduces foundational concepts in programming, computational mathematics, and embedded systems. Students explore computer systems, data structures, data management, and the foundations of embedded networks, IIoT, and security.  Business management and regulations are also introduced to provide a holistic understanding of the aerospace industry. The modules are designed to build a solid foundation in computing principles and industry knowledge.","Year two delves into programming language paradigms, software engineering principles, testing, validation, and integration methodologies.  Students engage in NVQ studies to complete apprenticeships standards, and build their understanding of corporate responsibility and professional development. This year focuses on gaining specific skills which are fundamental to employment in the aerospace software sector.","The third year involves a significant work-based team project, providing practical experience and collaboration skills. Students explore model-based design, concurrency and communication, and real-time embedded systems. NVQ continuation and Gateway preparation modules improve understanding of the overall apprenticeship requirements and prepare learners for their final end-point assessment. Defining a project linked to KSB and Gateway helps further embed practical skill-building into the programme.","The final year concentrates on data mining, foundations of AI, and an individual project.  It includes end-point assessment preparation and completion. This culminates in a final assessment that tests the learners understanding and application of knowledge learnt throughout the programme.",NA,NA,Aerospace Software Engineer,Software Developer,Embedded Systems Engineer,Data Scientist,Robotics Engineer
