Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Regional Tax Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://apply.unifi.it/courses/course/22-accounting-auditing-e-controllo?search=900481,"Master in Accounting, Auditing and Control (LM-77)",NA,NA,NA,Applicants must hold a Bachelor's degree (or equivalent) in a business and accounting-related field. Non-EU applicants living abroad must provide a B2 level Italian language proficiency certificate (CLIQ system) or participate in the University's annual Italian language test. EU applicants are not required to have a certificate of Italian proficiency but are recommended to have a good proficiency. A minimum of 1 reference is required.,Master,Master,September 2025,2 Years,15 Sept 2025,On Campus,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The Master in Accounting, Auditing and Control (LM-77) is a two-year, full-time program offered by the University of Florence, Italy. It aims to provide a comprehensive understanding of financial data analysis and its application in various organizations, including profit, non-profit, and public sectors. The program offers both a local and international perspective, allowing students to tailor their studies to their specific interests and career aspirations. The program is suitable for students with a strong foundation in business and accounting who wish to deepen their knowledge with a focus on both local and international perspectives.","The curriculum encompasses a range of theoretical and practical modules covering various aspects of accounting, auditing, and control. Students will explore topics such as financial reporting, financial statement analysis, auditing standards and practices, internal control systems, and corporate governance. The program also includes practical elements like case studies, simulations, and guest lectures by industry experts, providing hands-on experience and real-world insights.","The first year of the program focuses on building a solid foundation in core accounting and finance principles. Students will delve into topics such as financial accounting, managerial accounting, financial statement analysis, and corporate finance. Additionally, they will gain an understanding of Italian accounting regulations and explore the international accounting landscape.","The second year of the program provides advanced knowledge and specialized skills in accounting, auditing, and control. Students will learn about auditing standards, internal control systems, fraud detection and prevention, and risk management. They will also explore emerging topics in accounting and finance, such as sustainability reporting and data analytics.",NA,NA,NA,NA,Accountant,Auditor,Financial Analyst,Financial Controller,Management Consultant
https://apply.unifi.it/courses/course/45-advanced-molecular-sciences?search=900481,Advanced Molecular Sciences,Overall 6.5,Overall 59,80 overall,"To be eligible for this Master's program, applicants must possess a Bachelor's degree, a three-year university diploma, or a recognized equivalent qualification from abroad. For this English-taught program, proof of English proficiency is required.  The program requires a minimum score of 6.5 in IELTS, 59 in PTE, or 80 overall in TOEFL. ",Master,Master,2025/26,2 years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The First Level Master Degree in Advanced Molecular Sciences is designed to equip graduates in Chemistry with advanced scientific and professional expertise.  The program's use of English aims to attract international students and prepare them for research opportunities worldwide. The Master's program provides in-depth knowledge and experience in the design, synthesis, and characterization of complex systems, with applications in fundamental research, industrial activities, and development.  The curriculum draws on the expertise of the University of Florence's Department of Chemistry “Ugo Schiff” in materials chemistry and life sciences. The program bridges the traditional gap between synthetic materials and biological molecule chemistry, fostering interdisciplinary skills.  Graduates will be equipped to design and study intricate systems, including advanced materials, bio-pharmaceuticals, probes, and next-generation theranostics. The program's molecular approach emphasizes the development of new products and the precise control of their properties, addressing societal needs through new therapeutic approaches, materials, processes, and analytical methods. The curriculum comprises mandatory chemistry and biochemistry courses, essential for professional and cultural development, alongside optional courses. ","The program's curriculum encompasses both mandatory and optional courses. Mandatory courses focus on core chemistry and biochemistry principles, providing a strong foundation for all graduates. These courses cover the fundamentals of molecular sciences, including organic chemistry, inorganic chemistry, analytical chemistry, physical chemistry, and biochemistry.  The program also includes a selection of optional courses, allowing students to specialize in specific areas of interest. These electives might include advanced topics in materials chemistry, bio-organic chemistry, medicinal chemistry, computational chemistry, or analytical methods.  In addition to coursework, students will also participate in laboratory work, research projects, and seminars. The program's structure allows for flexibility in tailoring the learning experience to individual interests and career goals.","The first year of the program focuses on establishing a solid foundation in core chemistry and biochemistry principles. Students will be exposed to a rigorous curriculum covering fundamental topics such as organic chemistry, inorganic chemistry, analytical chemistry, physical chemistry, and biochemistry.  The program also includes laboratory work and seminars, giving students practical experience and exposure to current research.  Year one courses aim to provide a comprehensive understanding of molecular structures, reactions, and properties, preparing students for advanced topics in the subsequent year.","In the second year, students deepen their knowledge and skills in advanced molecular sciences, building on the foundation laid in the first year. They will explore specialized topics in materials chemistry, bio-organic chemistry, medicinal chemistry, computational chemistry, or analytical methods.  Students will also be involved in research projects, where they apply their theoretical knowledge to practical problems.  The program's curriculum fosters a strong emphasis on independent research and critical thinking skills, preparing graduates for careers in research and development.",NA,NA,NA,NA,Research Scientist,Analytical Chemist,Biochemist,Pharmaceutical Scientist,Materials Scientist
https://apply.unifi.it/courses/course/56-archeologia?search=900481,Archeologia,NA,NA,NA,"For the Archeologia program at the University of Florence, applicants must possess a bachelor's degree or equivalent qualifications from an accredited institution.  The entry qualification documents are accepted in English, French, Italian, or Spanish. If not originally in these languages, official translations and verified copies of the originals are required. For Non-EU applicants living abroad, a valid Italian language proficiency certificate at level B2 is mandatory, issued by one of the organizations recognized by the CLIQ quality system. Alternatively, applicants without a certificate can participate in the University's annual Italian language test. For EU applicants, a certificate of Italian proficiency is not required, though a good proficiency in Italian is highly recommended. Additionally, at least one reference is needed for application. ",Master,Master,2025/26,2 years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The Archeologia program at the University of Florence is a two-year, full-time Master's degree taught in Italian. The program aims to equip students with a comprehensive understanding of archaeological theory and practice. This includes a wide range of topics such as archaeological methods, excavation techniques, analysis of archaeological data, and the interpretation of historical and cultural evidence. Students will develop strong research skills, learn to critically analyze archaeological findings, and understand the role of archaeology in modern society. The program provides a strong foundation for careers in research, museums, heritage management, and education.","The Archeologia program is structured into a series of courses and seminars covering various aspects of archaeology. Students will engage in theoretical learning, practical training, and research projects. The curriculum may include modules on: 

-  Archaeological Methods and Techniques 
-  Archaeological Excavation and Survey 
-  Analysis of Archaeological Data 
-  Interpretation of Archaeological Evidence 
-  History of Archaeology 
-  Theories of Archaeology 
-  Archaeological Ethics 
-  Archaeological Conservation 
-  Museum Studies 
-  Heritage Management 

Students may also have the opportunity to participate in archaeological fieldwork, internships at museums or heritage institutions, and research collaborations with international scholars. The program culminates in a thesis project, where students conduct independent research on a chosen archaeological topic.","The first year of the Archeologia program focuses on providing students with a strong foundation in the fundamental theories and methodologies of archaeology. The curriculum typically covers courses on the history of archaeology, archaeological methods and techniques, analysis of archaeological data, and the interpretation of archaeological evidence. Students will also learn about the different types of archaeological research, including excavation, survey, and analysis.","The second year of the Archeologia program delves deeper into specialized areas of archaeological study. Students will have the opportunity to choose elective courses tailored to their specific interests, such as archaeological conservation, museum studies, or heritage management. The second year also includes a significant research component, where students conduct independent research projects under the supervision of faculty advisors. This research culminates in a thesis, which serves as the culmination of their studies.",NA,NA,NA,NA,Archaeologist,Museum Curator,Heritage Manager,Archaeological Researcher,Archaeological Educator
https://apply.unifi.it/courses/course/23-architettura-curriculum-architectural-design?search=900481,"Architettura (curriculum ""Architectural design"")",Overall 6.5,Overall 59,80 overall,"Applicants must hold an undergraduate diploma (or higher) for admission. The required documents are accepted in English, French, Italian, or Spanish. Official translations and verified copies of originals are needed for documents not in these languages. Proficiency in English is essential. References and a relevant portfolio are also required. For Pakistani students, the specific requirements are not explicitly mentioned. However, the general admission criteria for international students apply, including the undergraduate degree requirement and English proficiency.  ",Master,Master,2025/26,2 years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The ""Architettura"" program with a focus on ""Architectural design"" at the University of Florence is a 2-year Master's degree program taught in English. It aims to provide students with a comprehensive understanding of architectural design principles and practices. The program covers topics such as architectural history, theory, technology, and sustainability. It emphasizes hands-on experience and prepares graduates for careers in architectural design, research, and teaching.","The program's curriculum is designed to equip students with a solid theoretical foundation and practical skills in architectural design. It covers a wide range of subjects, including architectural history, theory, technology, sustainability, and design studios. Students will engage in workshops, seminars, and project-based learning activities, allowing them to apply their knowledge to real-world scenarios. ","The first year of the program focuses on building a strong foundation in architectural theory and history. Students explore different historical periods and styles, delve into architectural theory, and develop their understanding of design principles.  They engage in design studios where they work on projects that challenge them to apply theoretical concepts to practical design problems. ","The second year of the program deepens students' understanding of architectural design through advanced design studios and specialized electives. They work on complex design projects that allow them to develop their individual design approaches and refine their technical skills. Electives provide the opportunity to specialize in areas of interest, such as sustainable design, digital design, or urban planning. The program culminates in a final project where students demonstrate their mastery of architectural design principles and their ability to deliver a comprehensive and innovative design solution.",NA,NA,NA,NA,Architect,Architectural Designer,Urban Planner,Architectural Researcher,Architectural Educator
https://apply.unifi.it/courses/course/19-architettura-curriculum-progettazione-dellarchitettura?search=900481,"Architettura (curriculum ""Progettazione dell'Architettura"")",NA,NA,NA,"Applicants must hold an undergraduate diploma or a higher degree. The entry qualification documents are accepted in English, French, Italian, or Spanish. Official translations and verified copies of the originals might be required if the transcript is not suitable. For non-EU applicants residing abroad, a valid certificate of Italian language proficiency at level B2 is mandatory, awarded by CLIQ. Applicants lacking this certificate can participate in the University's annual test. EU applicants are not required to have a certificate of Italian proficiency. A strong proficiency in Italian is recommended. One reference and a relevant portfolio are required.",Master,Master,2025/26,2 Years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The ""Architettura (curriculum ""Progettazione dell'Architettura"")"" program at the University of Florence is a two-year Master's degree focusing on architectural design. It emphasizes a deep understanding of architectural principles, design methodologies, and contemporary practices. Students will develop their skills in conceptualization, planning, and realization of architectural projects, engaging with theoretical frameworks and practical applications. The program aims to equip graduates with a strong theoretical and practical foundation for a successful career in architecture.","The course curriculum is designed to provide students with a comprehensive understanding of architectural design principles, methodologies, and practices. It includes a combination of theoretical lectures, studio-based design projects, workshops, seminars, and site visits. The program will cover topics such as architectural history, theory, and criticism; design fundamentals; building technology and construction; sustainability and environmental design; urban planning and design; digital tools and technologies for design; and professional practice. Students will have the opportunity to work on real-world projects and develop their skills through individual and collaborative work.","The first year of the program will lay the foundation for students' understanding of architectural design. It will cover topics such as architectural history and theory, design fundamentals, building technology, sustainability, and urban planning. Students will engage in studio-based design projects and workshops to develop their design skills and understanding of different design approaches.","The second year of the program will focus on advanced design concepts, professional practice, and specialized areas of architectural design. It will include advanced studios, seminars, and workshops that delve deeper into specific aspects of architecture, such as sustainable design, urban design, and digital design. Students will also have the opportunity to undertake individual or group research projects and participate in study abroad programs.",NA,NA,NA,NA,Architect,Urban Designer,Architectural Designer,Interior Designer,Landscape Architect
https://apply.unifi.it/courses/course/20-architettura-del-paesaggio?search=900481,Architettura del Paesaggio,NA,NA,NA,"Applicants must have a Bachelor's degree (or equivalent) to be eligible for admission to this Master's program.  Non-EU applicants living abroad need a B2 level Italian language proficiency certificate, which can be obtained through CLIQ, Italian Institutes of Culture, or other institutions. They can also participate in the university's annual Italian language test. EU applicants are not required to have an Italian language certificate, but proficiency is recommended.  A relevant portfolio and at least one reference are required for admission.",Master,Master,2025/26,2 years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The Master's degree in Landscape Architecture at the University of Florence offers a comprehensive and in-depth exploration of the design, planning, and management of outdoor spaces. It covers a wide range of topics, including landscape history and theory, design principles, ecological and environmental considerations, sustainable practices, urban and rural landscape design, and project management. This program prepares students for a variety of career opportunities in landscape architecture, environmental design, and related fields, equipping them with the knowledge, skills, and creative thinking necessary to shape the future of our built and natural environments.","The Master's degree program in Landscape Architecture is designed to provide students with a well-rounded understanding of landscape design, planning, and management. The curriculum typically includes core courses covering: 

* Landscape History and Theory: This module explores the evolution of landscape architecture, from its historical roots to contemporary approaches, emphasizing the cultural, social, and environmental influences that have shaped the field. 
* Design Principles and Techniques: Students learn fundamental design principles and techniques, exploring spatial organization, visual composition, material selection, and other elements essential for creating effective and beautiful landscapes. 
* Ecological and Environmental Considerations: This course focuses on the importance of ecological principles in landscape design, covering topics such as plant ecology, site analysis, soil management, and water conservation. 
* Sustainable Design Practices: This module emphasizes the integration of sustainable principles into landscape design, exploring topics such as green building materials, energy efficiency, and resource management. 
* Urban and Rural Landscape Design: Students delve into the unique challenges and opportunities presented by designing landscapes in both urban and rural contexts. 
* Project Management: This course provides practical skills in project management, covering topics such as planning, budgeting, scheduling, and communication.",NA,NA,NA,NA,NA,NA,Landscape Architect,Urban Designer,Environmental Planner,Sustainable Design Consultant,Landscape Manager
https://apply.unifi.it/courses/course/48-biologia-dellambiente-e-del-comportamento?search=900481,Biologia dell'ambiente e del comportamento,NA,NA,NA,"Applicants must possess an undergraduate diploma or higher. Entry qualifications are accepted in English, French, Italian, or Spanish. Official translations with verified copies of the original documents are required if the transcript is not available in these languages. Non-EU applicants residing abroad need a valid Italian language proficiency certificate at the B2 level, awarded by CLIQ or other approved institutions. They can also take the University's annual Italian language test. EU applicants are not required to have a certificate of Italian proficiency but a good proficiency in Italian is highly recommended. At least one reference is required.",Master,Master,September 2025,2 years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The Master's program in Biology of the Environment and Behavior at the University of Florence is a two-year, full-time program taught entirely in Italian. The program explores the intricate relationship between living organisms and their environment, encompassing various aspects of ecological processes, animal behavior, and conservation efforts. Students delve into diverse topics, including the dynamics of ecosystems, behavioral adaptations of organisms, and the challenges of biodiversity conservation. The program provides a strong theoretical foundation in biology and environmental sciences, equipping students with the necessary skills and knowledge to understand and address contemporary environmental issues. Through practical field studies, research projects, and collaborations with leading scientists, students develop critical thinking abilities and gain hands-on experience in conducting research and implementing conservation strategies.","The program consists of a comprehensive curriculum covering a wide range of topics within the field of environmental biology and behavior. The curriculum is structured to provide a solid foundation in core subjects and offer opportunities for specialization in areas of particular interest. Course modules may include but are not limited to: 

* **Ecology:** This module introduces students to the principles of ecology, focusing on the interactions between organisms and their environment. It covers topics such as population dynamics, community structure, ecosystem function, and conservation biology.

* **Behavioral Ecology:** This module explores the evolutionary basis of animal behavior, examining how organisms adapt to their surroundings. It covers topics such as foraging strategies, mating systems, social behavior, and communication.

* **Environmental Physiology:** This module focuses on the physiological adaptations of organisms to their environment. It examines how animals respond to environmental stressors such as temperature, salinity, and oxygen availability.

* **Conservation Biology:** This module addresses the challenges of preserving biodiversity and maintaining healthy ecosystems. It explores topics such as habitat loss, species extinction, and sustainable resource management.

* **Field Studies:** The program includes practical field studies to provide students with hands-on experience in conducting research in natural settings. These studies may involve data collection, analysis, and interpretation.

* **Research Project:** Students are required to undertake a research project in their area of specialization. This project allows them to apply their knowledge and develop research skills under the guidance of experienced faculty members.

* **Seminars and Workshops:** The program offers a range of seminars and workshops led by experts in the field. These events provide students with insights into current research, emerging trends, and career opportunities.","The first year of the Master's program in Biology of the Environment and Behavior provides a solid foundation in core subjects. Students are introduced to the principles of ecology, behavioral ecology, and environmental physiology. They also engage in field studies to gain practical experience in data collection and analysis. Key subjects covered in the first year include: 

* **Principles of Ecology:** This course covers the fundamentals of ecological processes, including population dynamics, community structure, and ecosystem function.

* **Behavioral Ecology:** This course examines the evolutionary basis of animal behavior, exploring topics such as foraging strategies, mating systems, and social behavior.

* **Environmental Physiology:** This course focuses on the physiological adaptations of organisms to their environment, examining how animals respond to environmental stressors.

* **Field Studies in Ecology and Behavior:** This course involves practical field studies to gain hands-on experience in collecting and analyzing ecological and behavioral data.","The second year of the Master's program in Biology of the Environment and Behavior delves deeper into specialized areas of interest. Students can choose elective modules to further their knowledge in specific fields, such as conservation biology, molecular ecology, or wildlife management. The year culminates in the completion of a research project, where students apply their knowledge to a specific research question under the supervision of a faculty member. Key topics covered in the second year include: 

* **Conservation Biology:** This course addresses the challenges of preserving biodiversity and maintaining healthy ecosystems.

* **Molecular Ecology:** This course explores the use of molecular techniques to study ecological processes, such as population genetics and species identification.

* **Wildlife Management:** This course examines the principles and practices of managing wildlife populations for conservation and sustainable use.

* **Research Project:** Students conduct independent research on a chosen topic, culminating in a thesis or dissertation.",NA,NA,NA,NA,Environmental Consultant,Wildlife Biologist,Conservation Scientist,Research Scientist,Environmental Educator
https://apply.unifi.it/courses/course/46-biologia-molecolare-e-applicata?search=900481,Biologia molecolare e applicata,NA,NA,NA,"To apply for this Master's program, you must have a bachelor's degree, a three-year university diploma, or an equivalent qualification from abroad.  For English-taught programs, proof of English proficiency is required. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher. For this specific program, non-EU applicants living abroad are required to have a valid certificate of Italian language proficiency at level B2 awarded by CLIQ (Italian Quality Language Certification). Applicants without this certificate can participate in a test organized annually by the University.  Applicants participating in the ""Marco Polo project* are required a certificate of Italian language proficiency at level B1. EU applicants are not required to have a certificate of Italian proficiency and do not have to pass any Italian language test, but a good proficiency in Italian is highly recommended.",Master,Master,2025/26,2 years,15 Sept 2025,NA,"Florence, Italy","€156 to €3,500",NA,€20,€156,"This Master's program in Molecular and Applied Biology delves into the intricate world of molecular processes, equipping students with a profound understanding of the fundamental mechanisms that govern life at the molecular level. The curriculum encompasses a broad spectrum of topics, including genetics, biochemistry, cell biology, and biotechnology. Students gain hands-on experience through laboratory work and research projects, fostering their ability to apply theoretical knowledge to real-world challenges. The program aims to cultivate highly skilled professionals with expertise in molecular biology, enabling them to contribute to advancements in various fields, such as medicine, agriculture, and environmental science.","The curriculum for this Master's program in Molecular and Applied Biology typically spans two years, encompassing a diverse range of subjects designed to provide a comprehensive understanding of the field. The program often includes core courses covering fundamental principles of molecular biology, genetics, biochemistry, cell biology, and biotechnology.  Advanced courses may delve into specific areas of interest, such as genomics, proteomics, immunology, or bioinformatics.  Students are typically required to complete laboratory work, research projects, or internships, providing practical experience and research opportunities. The specific curriculum structure and course content may vary depending on the university and the specific program.","The first year of the Master's program in Molecular and Applied Biology typically focuses on foundational knowledge in core areas of molecular biology.  This might include courses covering genetics, biochemistry, cell biology, and the molecular basis of disease.  Students might also take introductory courses in biostatistics, bioinformatics, and research methods.  Practical experience may be integrated through laboratory work or internships.","The second year of the Master's program delves deeper into specialized areas within molecular biology, allowing students to tailor their learning to their interests.  This might include advanced courses in topics like genomics, proteomics, immunology, or bioinformatics.  Research projects or internships are often a key component of the second year, allowing students to apply their knowledge and develop research skills.  The program may culminate in a master's thesis, demonstrating independent research ability.",NA,NA,NA,NA,Research Scientist,Biotechnologist,Geneticist,Bioinformatician,Laboratory Technician
https://apply.unifi.it/courses/course/81-biotecnologie-mediche-e-farmaceutiche?search=900481,"Master's Degree Course in ""Biotecnologie mediche e farmaceutiche""",NA,NA,NA,"Applicants must possess an undergraduate diploma (or a higher qualification). The accepted languages for entry qualification documents include English, French, Italian, and Spanish.  Official translations and verified copies of the original documents are required if transcripts are not available in the mentioned languages. Non-EU applicants living abroad must have a valid Italian language proficiency certificate at level B2, certified by the CLIQ quality system. This certification can be obtained in their country of origin or at approved exam centers worldwide. Applicants without the certificate can participate in a test organized annually by the university. For 'Marco Polo project' participants, a B1 level certificate is required. EU applicants are not obligated to have a certificate but are highly encouraged to have good Italian proficiency.  Applicants need to provide at least one reference.  There is no specific information about requirements for Pakistani students, but the general requirements for international students apply.",Master,Master,15 Sept 2025,2 years,15 Sept 2025,NA,"Italy, Florence",NA,NA,€20,"€1,316","The Master's Degree Course in ""Biotecnologie mediche e farmaceutiche"" (Medical and Pharmaceutical Biotechnology) at the University of Florence equips students with theoretical and practical knowledge in the biotechnology field, focusing on promoting and recovering health, as well as producing and utilizing biotechnological products for therapeutic and diagnostic purposes.  Graduates will be able to apply classical and innovative technologies, understand their applications, interpret results, and support research and diagnostics in the biomedical and pharmacological fields. They will also acquire knowledge of the development of biological molecules for therapeutic use, and the main cellular, animal, and computational models for predicting the effects of molecules or cells for therapeutic applications. The program aims to provide in-depth knowledge on experimental cellular and molecular biology techniques, biotechnological design processes, and evaluation of biologically active molecules. It covers the principles of laboratory diagnostic techniques, human gamete biology, their manipulation, and techniques for laboratory diagnostics and infertility treatment. The program also focuses on stem cell identification, selection, and differentiation for repair/regeneration techniques in various organs/tissues, both in animal models and humans. ","The curriculum consists of compulsory courses with transversal contents that define the basic profile of a medical-pharmaceutical biotechnologist.  Students can choose optional integrated courses for specialization in areas such as Laboratory diagnostics, Human Reproduction and Medically Assisted Procreation Techniques, Advanced Biological Therapies, and Biotechnology and Big Data in Biomedicine.  A curricular internship provides practical laboratory experience to strengthen the specific skills within the chosen area of study. ",NA,NA,NA,NA,NA,NA,Biotechnologist,Research Scientist,Laboratory Technician,Clinical Research Associate,Pharmaceutical Analyst
https://apply.unifi.it/courses/course/49-biotecnologie-molecolari?search=900481,Biotecnologie molecolari,NA,NA,NA,"Applicants must hold an undergraduate diploma (or equivalent) for admission. The accepted languages for entry qualifications are English, French, Italian, and Spanish. Official translations with verified copies of the original documents are required if transcripts are not available in these languages. Non-EU applicants living abroad must possess a B2 level Italian language proficiency certificate recognized by the CLIQ quality system. Alternatively, they can participate in the University's annual Italian language test. Applicants participating in the ""Marco Polo project"" require a B1 level Italian language proficiency certificate. EU applicants are not obligated to provide an Italian proficiency certificate or take a language test, although a good understanding of Italian is recommended. At least one reference is required.",Master,Master,2025/26,2 years,15 Sept 2025,On Campus,"Florence, Italy","€156 to €3,500",NA,€20,€156,"The Master's program in Molecular Biotechnology at the University of Florence provides a comprehensive education in the field, focusing on advanced techniques and applications in molecular biology, genetics, and biotechnology. Students will delve into the principles of gene expression, protein engineering, genetic manipulation, and bioinformatics. The program aims to equip graduates with the knowledge and skills required for research, development, and innovation in various industries, including pharmaceuticals, agriculture, and healthcare.","The program is structured into a series of modules covering a wide range of subjects in molecular biotechnology. Core modules include: Molecular Biology, Genetics, Genomics, Bioinformatics, and Biotechnology Applications. Elective modules offer specialized tracks in areas such as gene therapy, synthetic biology, and bio-imaging. Practical lab sessions and research projects provide hands-on experience, enhancing students' practical skills.","The first year focuses on fundamental concepts in molecular biology and genetics. Subjects include DNA structure and function, gene expression, protein synthesis, genetic engineering, and molecular techniques. Students will gain a strong foundation in these areas, preparing them for advanced courses in the second year.","The second year delves into advanced topics in molecular biotechnology, including genomics, proteomics, bioinformatics, and applications of biotechnology in various industries. Students will learn about current research trends and gain specialized knowledge in their chosen elective modules. Research projects and internships allow them to apply their knowledge and skills in real-world settings.",NA,NA,NA,NA,Research Scientist,Biotechnologist,Genetic Engineer,Bioinformatician,Pharmaceutical Scientist
