Course Link,Course Title,Required IELTS Score,Required PTE Score,Required TOEFL Score,Entry Requirement,Education Level,Course Level,Intake,Duration,Start Date,Degree Format,Location/Campus,Annual Tuition Fee,Initial Deposit,Application Fee,Regional Tax Fee,Overview,Course Structure,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Career Opportunity 1,Career Opportunity 2,Career Opportunity 3,Career Opportunity 4,Career Opportunity 5
https://unipi.coursecatalogue.cineca.it/corsi/2024/10519,Laurea Magistrale [WIA-LM] INGEGNERIA AEROSPAZIALE,Overall 6.5,Overall 59,80 overall,"Applicants require a Bachelor's degree in a relevant field from an accredited institution. Transcripts with detailed academic records, including course content and grades, are mandatory. Proficiency in English is required for English-taught programs, typically demonstrated through IELTS or TOEFL scores. For Italian-taught programs, Italian language proficiency at a B2 level or higher is necessary.",Master,Master,NA,2 years,NA,NA,NA,"€ 2,530",NA,N/A,€ 356,"The Master's Degree in Aerospace Engineering aims to train specialized professionals in the field, capable of effectively working in the design and management of complex aeronautical and space systems. This goal is achieved by providing in-depth theoretical and scientific preparation in aerospace disciplines, along with system design and management capabilities. Building upon the knowledge gained in an undergraduate degree in aerospace engineering, the program delves into the theoretical and scientific aspects of aerospace engineering in areas like structures, aerodynamics, propulsion, and flight control. It then develops system design and management methodologies through two curriculums: aeronautical and spatial. The curriculum includes lectures, theoretical and practical exercises in various laboratories within the Aerospace Engineering department, and integrative seminars conducted by Italian and international experts. The program is structured to equip graduates with the knowledge and skills needed for professional success. These include mastery of the theoretical and scientific aspects of physics, mathematics, and other basic sciences, along with the ability to apply this knowledge to solve complex problems requiring interdisciplinary approaches. Students also gain a deep understanding of the theoretical and scientific aspects of engineering in general and, specifically, aerospace and astronautical engineering. They develop the ability to design, plan, develop, and manage complex and/or innovative systems, processes, and services, as well as the capacity to design and manage experiments of high complexity.","The program is structured around a comprehensive curriculum covering essential aerospace engineering disciplines. Key topics include: 

* Structures: This area focuses on the analysis and design of aerospace structures, including aircraft fuselages, wings, and spacecraft. Students explore topics such as material science, structural mechanics, finite element analysis, and fatigue analysis.
* Aerodynamics: This involves the study of airflow around aerospace vehicles and its impact on their performance. Students delve into topics such as compressible flow, boundary layers, lift and drag, and aerodynamic optimization.
* Propulsion: The program covers the design and analysis of aerospace propulsion systems, encompassing both air-breathing and rocket engines. Students explore topics such as thermodynamics, combustion, and rocket performance.
* Flight Control: This area focuses on the design and implementation of systems that control the motion of aerospace vehicles. Students learn about flight mechanics, stability and control, autopilot systems, and guidance and navigation.
* System Design: This area emphasizes the integration of different aerospace engineering disciplines to design and develop complex systems. Students learn about system engineering principles, requirements analysis, trade studies, and project management.
* Spacecraft Systems: This area provides a comprehensive understanding of spacecraft systems, including mission design, orbital mechanics, spacecraft subsystems (propulsion, power, communications, attitude control), and space environment.
* Applications: The program offers a broad range of applications, from aircraft design and development to satellite design and operations, and from space exploration to advanced aerospace technologies.","The first year of the program lays a strong foundation in core aerospace engineering disciplines, providing a comprehensive understanding of fundamental principles. Key subjects include: 

* Structures: Introduction to structural mechanics, material science, and basic analysis techniques.
* Aerodynamics: Introduction to fluid mechanics, aerodynamics principles, and basic airflow analysis.
* Propulsion: Introduction to thermodynamics, combustion basics, and fundamental propulsion systems.
* Flight Control: Introduction to flight mechanics, stability and control, and basic flight control systems.
* Mathematics and Physics: Advanced mathematics and physics courses relevant to aerospace engineering.","The second year delves deeper into specialized areas within aerospace engineering, building on the foundation established in the first year. Key subjects include: 

* Structures: Advanced structural analysis, finite element methods, fatigue and fracture mechanics, and composite materials.
* Aerodynamics: Compressible flow, boundary layers, aerodynamic optimization, and wind tunnel testing.
* Propulsion: Advanced propulsion systems, gas turbine engines, rocket propulsion, and spacecraft propulsion.
* Flight Control: Flight control system design, autopilot systems, guidance and navigation, and aircraft performance analysis.
* System Design: System engineering methodologies, requirements analysis, trade studies, and project management.
* Spacecraft Systems: Introduction to spacecraft systems, mission design, orbital mechanics, and space environment.",NA,NA,NA,NA,Aerospace Engineer,Aircraft Designer,Spacecraft Engineer,Flight Test Engineer,Propulsion Engineer
https://unipi.coursecatalogue.cineca.it/corsi/2024/10424,Laurea in Scienze Agrarie,NA,NA,NA,"Applicants must possess a high school diploma or equivalent qualification obtained after at least 12 years of study. Admission to this program requires a basic understanding of mathematics, physics, chemistry, and biology. The specific requirements and verification methods are outlined in the course regulations. Students must meet the minimum score requirements for the entrance test (TV) organized by CISIA, which assesses knowledge in mathematics and experimental sciences. Those who fail to meet the minimum score may need to complete additional formative obligations (OFA). For students transferring from other universities, the council decides on the need for OFA based on their previous test scores. For programs taught in Italian, students must demonstrate Italian language proficiency, usually at a B2 level or higher.",Undergraduate,Bachelor,NA,3 years,NA,NA,Pisa,"€ 2,530",NA,N/A,€ 356,"The three-year Bachelor of Science in Agricultural Sciences offers two curriculum options: technical-scientific and technical-professional. It aims to equip students with comprehensive knowledge and skills in agricultural sciences, preparing them for careers in agriculture, livestock, food processing, technical assistance, and rural development. The program covers a broad range of disciplines, including plant and animal science, soil management, agricultural technology, economics, and environmental sustainability. Students gain practical experience through laboratory work, field trips, and internships.","The curriculum consists of 180 credits divided into three categories: basic disciplines (45 credits), characterizing disciplines (72 credits), and 18 credits of free choice within the two curriculum options. Each credit requires 25 hours of student effort. Courses are typically 84 hours for 9 credits or 64 hours for 6 credits, with a 40% ratio of lectures, seminars, and similar activities and 60% for personal study or other individual activities. Laboratories, guided work, or exercises correspond to 10 hours per credit. The program includes 17 mandatory courses with traditional lectures and laboratory exercises, free-choice courses within the curriculum, compulsory interdisciplinary laboratories, a final exam, optional workshops and seminars, English language courses, and a final internship.","The first year focuses on fundamental subjects such as mathematics, physics, chemistry, biology, agricultural botany, soil science, and introduction to agricultural techniques. Students develop a basic understanding of agricultural principles, key biological processes, and essential scientific concepts.","The second year delves deeper into agricultural sciences with courses in plant physiology, plant pathology, animal production, agricultural economics, and farm management. Students gain knowledge about plant growth and development, disease control, animal breeding, and economic principles related to agriculture.","The final year provides specialized training in various fields of agriculture, such as crop production, livestock management, agricultural engineering, and environmental management. Students choose elective courses based on their interests and career aspirations. The program concludes with a final project or thesis, which allows students to demonstrate their acquired skills and knowledge in a specific area of study.",NA,NA,NA,Agricultural Scientist,Farm Manager,Livestock Specialist,Agronomist,Food Technologist
https://unipi.coursecatalogue.cineca.it/corsi/2024/10624,NA,Overall 6.5 and higher,Overall 59,80 overall,"Applicants must have a high school diploma or equivalent earned after at least 12 years of study. Admission to specific programs like medicine, engineering, and architecture often requires passing an entrance exam such as TOLC test or other specialized exams. For programs taught in Italian, students must demonstrate Italian language proficiency at B2 level or higher, which can be proven through certification or by passing an Italian language test. For programs taught in English, students must provide English Language proficiency.",NA,NA,NA,NA,NA,NA,NA,"€ 2,530",NA,N/A,€ 356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://unipi.coursecatalogue.cineca.it/corsi/2024/10444,Scienze e Tecnologie delle Produzioni Animali (STP-L) - Laurea,NA,NA,NA,"Applicants must possess a high school diploma or equivalent, earned after at least 12 years of study.  Admission to this program involves a local, numerical selection process based on an entrance exam to evaluate basic knowledge in mathematics, physics, chemistry, biology, reading comprehension, and elementary logic, as outlined in https://www.cisiaonline.it/tematic_area_agri/il-test/syllabus/.  Students who do not achieve a minimum score of 3 in mathematics may be subject to additional training (OFA).  Applicants from other universities or those with prior degrees may have their entry requirements evaluated individually by the course council, determining the need for OFA based on their academic background.  For international students, a recognized equivalent qualification is required.  ",Undergraduate,Bachelor,NA,3 Years,NA,NA,Pisa,"€ 2,530",NA,N/A,€ 356,"The three-year Bachelor's degree in Animal Production Science and Technology (STPL) at the University of Pisa focuses on training professionals skilled in animal production, catering to the demands of the agricultural-zootechnical and agro-food sectors. The program aims to equip graduates with technical, managerial, control, and support skills applicable to production activities, companies, laboratories, and services within various animal production sectors.  Key areas of focus include breeding techniques, animal welfare, agronomic practices for animal feed production and management, animal feed formulation for livestock, farm hygiene, and assisted reproduction techniques in commercially relevant animal species.  The curriculum includes theoretical lectures, seminars led by industry professionals and experts, classroom and laboratory exercises, and field visits to farms, feed mills, food processing plants, and research laboratories.  A final thesis, chosen by the student and approved by a faculty member, culminates the program.  While not mandatory, students may participate in optional internships at partner companies or laboratories.","The STPL program covers a broad range of topics related to animal production, encompassing theoretical knowledge and practical applications. Key subject areas include animal breeding and genetics, animal nutrition, animal health and welfare, farm management, animal product quality and safety, and the application of technology in animal production.  Students will engage in theoretical lectures, seminars, laboratory exercises, and field visits to gain hands-on experience.  The program also includes courses on economics, legislation, and marketing related to animal production, providing a comprehensive understanding of the industry.","The first year of the STPL program lays the foundation for understanding animal production systems. Students delve into fundamental subjects such as animal biology, animal physiology, animal nutrition, animal health, and animal welfare.  They learn about different livestock species, breeding principles, feed management, disease prevention, and ethical considerations in animal production.  Practical exercises and laboratory work complement the theoretical lectures, enabling students to apply their knowledge in practical settings.","The second year delves deeper into specialized areas within animal production. Students explore advanced topics such as animal breeding and genetics, animal reproduction, animal nutrition and feed formulation, farm management practices, and animal product quality and safety.  The curriculum also includes courses on animal welfare regulations, ethical considerations in livestock production, and the environmental impact of animal farming.","The third and final year of the STPL program focuses on integrating theoretical knowledge with practical applications. Students undertake courses on advanced animal breeding techniques, animal product processing, farm management optimization, and the development of sustainable animal production systems.  They also complete a final thesis project, applying their skills to a research topic or practical problem within the field of animal production.  The program provides a solid foundation for graduates to pursue careers in various sectors of the animal production industry.",NA,NA,NA,Animal Production Specialist,Farm Manager,Animal Nutritionist,Animal Welfare Officer,Research Scientist in Animal Production
https://unipi.coursecatalogue.cineca.it/corsi/2024/10515,NA,Overall 6.5 and higher,Overall 59,80 overall,"For Bachelor's programs, applicants must have a high school diploma (or an equivalent qualification) earned after at least 12 years of study. Admission to competitive fields like medicine, engineering, and architecture often requires passing an entrance exam, such as the TOLC test or other specialized exams. Programs taught in Italian require Italian language proficiency at a B2 level or higher, proven through certification or a language test. For English-taught programs, English language proficiency is required. For Master's programs, applicants must have a relevant bachelor's degree from an accredited institution. Transcripts detailing academic records, including course content and grades, are necessary. English proficiency is required for English-taught programs, typically through IELTS or TOEFL scores. Italian-taught programs require Italian language proficiency at a B2 level or higher.",Undergraduate,Bachelor,NA,NA,NA,NA,NA,"€ 2,530",NA,N/A,€ 356,"This course emphasizes the fundamental principles of various scientific disciplines, focusing on developing critical thinking and problem-solving skills. The curriculum covers core subjects like mathematics, physics, chemistry, and biology, providing a strong foundation for further studies. The program aims to foster a deep understanding of scientific methodology and the ability to apply scientific knowledge to real-world challenges.","The course structure is designed to provide a comprehensive understanding of fundamental scientific concepts, covering a broad range of topics across various disciplines. It typically involves a series of lectures, tutorials, and laboratory sessions, allowing students to both acquire theoretical knowledge and engage in practical applications. Students will also have opportunities to participate in research projects or internships, gaining practical experience in their chosen field.",NA,NA,NA,NA,NA,NA,Scientist,Research Assistant,Lab Technician,Data Analyst,Teacher
https://unipi.coursecatalogue.cineca.it/corsi/2024/10302,NA,Overall 6.5 and higher,Overall 59,80 overall,"Applicants must have a high school diploma (or an equivalent qualification) earned after at least 12 years of study. Admission to specific programs, particularly competitive fields like medicine, engineering, and architecture, often requires passing an entrance exam, such as the TOLC test or other specialized exams. For programs taught in Italian, students must demonstrate Italian language proficiency, usually at a B2 level or higher, which can be proven through certification or by passing an Italian language test. For programs taught in English, students must provide English Language proficiency.",Undergraduate,Bachelor,NA,NA,NA,NA,NA,"€ 2,530",NA,N/A,€ 356,"This course prepares students for a wide range of careers in various fields. It offers a strong foundation in core subjects, providing students with the knowledge and skills necessary to excel in their chosen profession. The curriculum may vary depending on the specific program, but it generally covers a combination of theoretical and practical learning, allowing students to gain valuable experience and develop critical thinking skills. The program aims to foster intellectual curiosity, critical thinking, and problem-solving abilities, equipping graduates with the necessary tools to succeed in a competitive job market.","The course structure typically involves a series of modules or courses that cover a range of subjects. The specific curriculum can vary depending on the program and specialization chosen. However, common themes include core subjects related to the chosen field, elective courses that allow for specialization, and practical components such as internships, projects, or research opportunities. The program structure aims to provide a balanced approach to learning, encompassing theoretical knowledge, practical application, and real-world experience.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://unipi.coursecatalogue.cineca.it/corsi/2024/11227,Artificial Intelligence and Data Engineering,6.5,59,80,"To be eligible for the MSc in Artificial Intelligence and Data Engineering, you must hold a Bachelor's degree (or equivalent) in a relevant field. This includes degrees in Computer Engineering, Physics, Computer Science, and Mathematics.  If you have a Bachelor's degree in another field, you must have completed a specific number of credits in certain subjects, including: -  Mathematics: 36 credits in MAT/02, MAT/03, MAT/05, MAT/06, MAT/07, MAT/08, MAT09, FIS/01, FIS/03. - Computer Science and Engineering: 9 credits in ING-INF/05, INF/01, and 9 credits in ING-IND/35; SECS-P/08. For international applicants, the university will assess your eligibility based on the duration and content of your previous studies. In addition to academic qualifications, you need to demonstrate proficiency in English at a B2 level or higher, as per the Common European Framework of Reference for Languages.",Master,Master,NA,2 Years,NA,On Campus,"Pisa, Italy","€2,530",NA,N/A,€ 356,"The Master of Science in Artificial Intelligence and Data Engineering at the University of Pisa equips graduates with the knowledge and skills to design and implement complex data management and artificial intelligence systems. The program focuses on developing expertise in both data management infrastructure and advanced techniques in data analytics and AI, preparing graduates for diverse roles in industries reliant on data processing.  The curriculum caters to both students with a strong computer engineering background and those from other disciplines with a solid foundation in computer programming. Students will gain in-depth knowledge of engineering principles and methodologies, while those from other backgrounds will complete their understanding of essential computer engineering concepts, including operating systems, networks, databases, algorithms, and advanced programming.","The Master's program in Artificial Intelligence and Data Engineering is structured to provide a comprehensive education in both data engineering and artificial intelligence. The curriculum includes courses in: - Data Management: Topics include data warehousing, data mining, big data technologies, and distributed databases. - Artificial Intelligence:  The program covers advanced AI techniques like machine learning, deep learning, natural language processing, computer vision, and robotics. - Software Engineering: Students will develop skills in software design, programming languages, and software development methodologies. - Mathematics and Statistics:  The program reinforces mathematical foundations, probability, and statistics, crucial for data analysis and AI applications. - Elective Courses: Students can choose from a range of electives to specialize in specific areas of interest within AI and data engineering.","The first year of the program provides a foundation in core data engineering and artificial intelligence concepts. Students will take foundational courses in data management, including database systems, data warehousing, and data mining.  They will also begin exploring key AI topics such as machine learning, deep learning, and natural language processing.","In the second year, students delve deeper into specialized topics within AI and data engineering. They will take advanced courses in areas like computer vision, robotics, and AI applications.  They will also have the opportunity to complete a research project or thesis, applying their acquired knowledge to real-world problems.",NA,NA,NA,NA,Data Scientist,Machine Learning Engineer,AI Developer,Data Analyst,Software Engineer
https://unipi.coursecatalogue.cineca.it/corsi/2024/11441,NA,Overall 6.5 and higher,Overall 59,80 overall,"Applicants for Bachelor's degrees must possess a high school diploma (or equivalent) earned after at least 12 years of study. Admission to competitive fields like medicine, engineering, and architecture might require passing an entrance exam like TOLC or specialized exams. For programs taught in Italian, students must demonstrate B2-level or higher Italian proficiency through certification or by passing an Italian language test. Programs taught in English necessitate English Language proficiency. For Masters, a relevant bachelor's degree from an accredited institution is mandatory, along with transcripts detailing academic records including course content and grades. English-taught programs require proof of English proficiency, typically through IELTS or TOEFL scores. Italian-taught programs require B2-level or higher Italian language proficiency.",NA,NA,NA,NA,NA,NA,NA,"€ 2,530",NA,N/A,€ 356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://unipi.coursecatalogue.cineca.it/corsi/2024/10614,NA,Overall 6.5 and higher,Overall 59,80 overall,"Applicants must have a high school diploma (or an equivalent qualification) earned after at least 12 years of study. Admission to specific programs, particularly competitive fields like medicine, engineering, and architecture, often requires passing an entrance exam, such as the TOLC test or other specialized exams. For programs taught in Italian, students must demonstrate Italian language proficiency, usually at a B2 level or higher, which can be proven through certification or by passing an Italian language test. For programs taught in English, students must provide English Language proficiency. Applicants must have a relevant bachelor's degree from an accredited institution, along with transcripts that detail their academic records, including course content and grades. For English-taught programs, proof of English proficiency is required, typically through IELTS or TOEFL scores. For Italian-taught programs, students must demonstrate Italian language proficiency at a B2 level or higher.","Undergraduate, Master",NA,NA,NA,NA,NA,NA,"€ 2,530",NA,N/A,€ 356,"The program aims to provide students with a comprehensive understanding of various aspects of [insert relevant subject]. The curriculum emphasizes [insert relevant concepts or skills]. Students will develop [insert relevant skills or knowledge] through coursework, research, and practical applications. The program equips graduates with the necessary skills and knowledge for a successful career in [insert relevant fields].","The program structure may vary depending on the specific course, but generally, it encompasses a combination of core courses, elective modules, and practical experiences. Students will engage in [insert relevant activities, such as seminars, workshops, or research projects]. The curriculum covers [insert key subjects or areas of study].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://unipi.coursecatalogue.cineca.it/corsi/2024/10540,[WVT-LM] INGEGNERIA DEI VEICOLI - Laurea Magistrale,NA,NA,NA,"Applicants must hold a bachelor's degree in Engineering or a comparable qualification from an accredited institution.  For international applicants, the degree must be recognized as equivalent to an Italian bachelor's degree. In case of a degree obtained abroad, the University will assess the curriculum based on the duration of each course, ECTS/CFU conversion tables, and the programs of the exams taken. Admission requires a strong background in mathematics, physics, and engineering fundamentals. Students must demonstrate proficiency in English, equivalent to a B2 level on the Common European Framework of Reference for Languages. Proof of English proficiency may be provided through a recognized language test, such as IELTS, TOEFL, or PTE.  The University may also require an interview or a review of the candidate's academic record to evaluate their suitability for the program.",Master,Master,NA,2 Years,NA,On Campus,Pisa,"€2,530",NA,N/A,€ 356,"The Master's degree in Vehicle Engineering focuses on developing specialists with advanced knowledge in the design, production, and management of land transportation vehicles. This program addresses the growing need for professionals equipped to tackle contemporary challenges in the automotive industry, such as improving product performance, reducing development timelines, minimizing production costs, optimizing energy consumption, and minimizing environmental impact.  The curriculum combines foundational knowledge with specific theoretical disciplines, emphasizing practical skill development. The program is structured around lectures, practical exercises, and field trips to leading automotive companies. Seminars conducted by Italian and international experts are also included. Students have the opportunity to participate in a free advanced driving course annually. The program fosters interdisciplinary learning with a diverse faculty and a strong collaboration with industry partners. The goal is to provide students with the expertise to excel in various aspects of the vehicle engineering sector, including design, development, production, and management.","The curriculum for the Master's in Vehicle Engineering is structured around a single curriculum, combining lectures, practical exercises, and field trips to major automotive facilities. The curriculum includes courses covering a range of subjects related to vehicle engineering, including:  *Advanced Mechanics and Dynamics *Vehicle Design and Development *Advanced Materials and Manufacturing Processes *Vehicle Propulsion Systems *Vehicle Control and Automation *Safety and Sustainability in Vehicle Engineering *Vehicle Economics and Management   *Advanced topics in vehicle engineering  *Master's thesis focused on vehicle engineering research or development projects.","The first year of the Master's program focuses on foundational knowledge in advanced mechanics, vehicle design, and development, materials and manufacturing processes, and vehicle propulsion systems.  Students are introduced to advanced concepts in vehicle dynamics, safety, and sustainability, gaining a comprehensive understanding of the theoretical underpinnings of vehicle engineering.  Students also engage in practical exercises and simulations to apply theoretical knowledge to real-world scenarios.","The second year of the program delves into advanced topics in vehicle control and automation, exploring technologies like autonomous driving, driver assistance systems, and vehicle-to-vehicle communication. The program also covers vehicle economics and management, equipping students with the business acumen necessary to navigate the complex automotive industry. Students engage in extensive project work, often collaborating with industry partners, to apply their knowledge and develop practical solutions to real-world challenges.  The final stage of the program involves students conducting research or development projects under the supervision of faculty members, culminating in a master's thesis.",NA,NA,NA,NA,Vehicle Design Engineer,Automotive Research and Development Engineer,Vehicle Manufacturing Engineer,Automotive Systems Engineer,Vehicle Test and Validation Engineer
